VOO: Vanguard S&P 500 ETF
Inception Date: 2010-09-09
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	159939700
Shares Outstanding: 523706000
Expense Ratio: 0.03%
Tracks This Index: S&P 500 Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VOO


Holding,Symbol,Weighting
Laboratory Corporation of America Holdings,LH,0.0659%
Maxim Integrated Products Inc,MXIM,0.0658%
Akamai Technologies Inc,AKAM,0.0655%
Old Dominion Freight Line Inc,ODFL,0.0655%
LyondellBasell Industries NV,LYB,0.0654%
Ameriprise Financial Inc,AMP,0.065%
Vulcan Materials Co,VMC,0.0643%
Valero Energy Corp,VLO,0.0642%
Marketaxess Holdings Inc,MKTX,0.0636%
Equity Residential,EQR,0.0636%
CMS Energy Corp,CMS,0.0632%
Conagra Brands Inc,CAG,0.0627%
Tyson Foods Inc,TSN,0.0626%
Hologic Inc,HOLX,0.0624%
Kansas City Southern,KSU,0.0622%
Discover Financial Services,DFS,0.0619%
Amcor PLC,AMCR,0.0615%
Cooper Companies Inc,COO,0.0612%
Citrix Systems Inc,CTXS,0.061%
Domino's Pizza Inc,DPZ,0.061%
CDW Corp,CDW,0.0603%
ViacomCBS Inc,VIAC,0.0592%
Tractor Supply Co,TSCO,0.0591%
Northern Trust Corp,NTRS,0.0588%
Incyte Corp,INCY,0.0584%
Kellogg Co,K,0.0582%
International Paper Co,IP,0.0575%
Ventas Inc,VTR,0.0574%
Teleflex Inc,TFX,0.0571%
CBRE Group Inc,CBRE,0.057%
Fortinet Inc,FTNT,0.0567%
Dover Corp,DOV,0.0567%
Varian Medical Systems Inc,VAR,0.0563%
FirstEnergy Corp,FE,0.0562%
Paycom Software Inc,PAYC,0.0557%
Las Vegas Sands Corp,LVS,0.0557%
W W Grainger Inc,GWW,0.0553%
Broadridge Financial Solutions Inc,BR,0.0552%
Expeditors International of Washington Inc,EXPD,0.0552%
Quest Diagnostics Inc,DGX,0.0551%
Carmax Inc,KMX,0.0549%
Xylem Inc,XYL,0.0549%
Qorvo Inc,QRVO,0.0548%
Steris plc,STE,0.0543%
Fifth Third Bancorp,FITB,0.0542%
ETSY Inc,ETSY,0.0533%
Masco Corp,MAS,0.0529%
Healthpeak Properties Inc,PEAK,0.0528%
Amerisourcebergen Corp,ABC,0.0516%
Martin Marietta Materials Inc,MLM,0.0514%
Garmin Ltd,GRMN,0.051%
Nasdaq Inc,NDAQ,0.0509%
Zebra Technologies Corp,ZBRA,0.0509%
Pioneer Natural Resources Co,PXD,0.0509%
Extra Space Storage Inc,EXR,0.0506%
CH Robinson Worldwide Inc,CHRW,0.0503%
Catalent Inc,CTLT,0.0502%
