VTI: Vanguard Total Stock Market ETF
Inception Date: 2001-05-31
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	161857601
Shares Outstanding: 957228000
Expense Ratio: 0.03%
Tracks This Index: CRSP US Total Market Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VTI


Holding,Symbol,Weighting
Best Buy Co Inc,BBY,0.0768%
Parker-Hannifin Corp,PH,0.0765%
Okta Inc,OKTA,0.0758%
Kroger Co,KR,0.0757%
Williams Companies Inc,WMB,0.0754%
TransDigm Group Inc,TDG,0.0752%
Mettler-Toledo International Inc,MTD,0.0745%
Fastenal Co,FAST,0.0735%
Microchip Technology Inc,MCHP,0.0735%
Skyworks Solutions Inc,SWKS,0.0734%
Xilinx Inc,XLNX,0.0723%
Ford Motor Co,F,0.0723%
Corning Inc,GLW,0.072%
Consolidated Edison Inc,ED,0.0719%
Aptiv PLC,APTV,0.0718%
Schlumberger NV,SLB,0.0715%
Church & Dwight Co Inc,CHD,0.0714%
Fortive Corp,FTV,0.0712%
Lennar Corp,LEN.B,0.0704%
Moderna Inc,MRNA,0.0701%
Align Technology Inc,ALGN,0.0701%
American International Group Inc,AIG,0.0699%
Brown-Forman Corp,BF.B,0.069%
DTE Energy Co,DTE,0.069%
American Water Works Company Inc,AWK,0.0688%
Freeport-McMoRan Inc,FCX,0.0678%
Mckesson Corp,MCK,0.0676%
Welltower Inc,WELL,0.0674%
McCormick & Company Inc,MKC,0.0674%
Paccar Inc,PCAR,0.0673%
Dollar Tree Inc,DLTR,0.067%
Marriott International Inc,MAR,0.0667%
Corteva Inc,CTVA,0.0665%
West Pharmaceutical Services Inc,WST,0.0664%
Phillips 66,PSX,0.0661%
Alexion Pharmaceuticals Inc,ALXN,0.0658%
Weyerhaeuser Co,WY,0.0647%
Southwest Airlines Co,LUV,0.0647%
Roku Inc,ROKU,0.0644%
Kraft Heinz Co,KHC,0.0637%
Dover Corp,DOV,0.0634%
AMETEK Inc,AME,0.0626%
Copart Inc,CPRT,0.0625%
Maxim Integrated Products Inc,MXIM,0.0622%
Coupa Software Inc,COUP,0.0617%
Cerner Corp,CERN,0.0615%
Zillow Group Inc,ZG,0.0612%
Avalonbay Communities Inc,AVB,0.0611%
VF Corp,VFC,0.061%
RingCentral Inc,RNG,0.0609%
Verisign Inc,VRSN,0.0606%
Pultegroup Inc,PHM,0.0605%
Marathon Petroleum Corp,MPC,0.06%
EOG Resources Inc,EOG,0.0599%
Realty Income Corp,O,0.0589%
Equifax Inc,EFX,0.0588%
Pinterest Inc,PINS,0.0588%
Hershey Co,HSY,0.0585%
Catalent Inc,CTLT,0.0584%
Fleetcor Technologies Inc,FLT,0.0584%
Keysight Technologies Inc,KEYS,0.0583%
Take-Two Interactive Software Inc,TTWO,0.0583%
PerkinElmer Inc,PKI,0.0583%
Equity Residential,EQR,0.0583%
Old Dominion Freight Line Inc,ODFL,0.058%
PPL Corp,PPL,0.0579%
Alexandria Real Estate Equities Inc,ARE,0.0577%
Cooper Companies Inc,COO,0.0572%
Arthur J Gallagher & Co,AJG,0.057%
Ameren Corp,AEE,0.057%
Aflac Inc,AFL,0.0567%
Peloton Interactive Inc,PTON,0.0564%
State Street Corp,STT,0.0563%
Laboratory Corporation of America Holdings,LH,0.0562%
