DIM: WisdomTree International MidCap Dividend
Inception Date: 2006-06-16
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	151884
Shares Outstanding: 2700000
Expense Ratio: 0.58%
Tracks This Index: WisdomTree International MidCap Dividend Index
ETFdb.com Category: Foreign Large Cap Equities
Issuer: WisdomTree
Structure: ETF
ETF Home Page: https://etfdb.com/etf/DIM


Holding,Symbol,Weighting
Pola Orbis Holdings Inc,4927,0.1356%
Yuexiu Property Co Ltd,123,0.1348%
Toray Industries Inc,3402,0.1344%
Stroeer SE & Co KGaA,SAX,0.134%
Mebuki Financial Group Inc,7167,0.1334%
Telecom Italia SpA,TITR,0.133%
Vifor Pharma AG,VIFN,0.1319%
Contact Energy Ltd,CEN,0.1315%
Wartsila Oyj Abp,WRT1V,0.1309%
Husqvarna AB,HUSQ.B,0.1303%
ConvaTec Group PLC,CTEC,0.1302%
Zardoya Otis SA,ZOT,0.1297%
Kyushu Electric Power Co Inc,9508,0.1297%
Johnson Matthey PLC,JMAT,0.1295%
Evolution Mining Ltd,EVN,0.129%
Nabtesco Corp,6268,0.129%
Sharp Corp,6753,0.1288%
Imerys SA,NK,0.1279%
USS Co Ltd,4732,0.1278%
Helvetia Holding AG,HELN,0.1273%
Securitas AB,SECU.B,0.1269%
Shizuoka Bank Ltd,8355,0.1266%
Chr Hansen Holding A/S,CHR,0.1263%
Fukuoka Financial Group Inc,8354,0.1262%
Mazda Motor Corp,7261,0.1261%
NGK Spark Plug Co Ltd,5334,0.1259%
HELLA GmbH & Co KGaA,HLE,0.1259%
Vontobel Holding AG,VONN,0.1248%
MTU Aero Engines AG,MTX,0.1238%
Seven Bank Ltd,8410,0.1238%
Sojitz Corp,2768,0.1236%
Compagnie Plastic Omnium SE,POM,0.1235%
Shenzhen Investment Ltd,604,0.1227%
Ebro Foods SA,EBRO,0.1226%
Gaztransport et Technigaz SA,GTT,0.1222%
Aozora Bank Ltd,8304,0.1217%
Aker ASA,AKER,0.1211%
Kurita Water Industries Ltd,6370,0.121%
SEB SA,SK,0.1207%
Compania de Distribucion Integral Logista Holdings SA,LOG,0.1206%
Mitsubishi UFJ Lease & Finance Co Ltd,8593,0.12%
Pearson PLC,PSON,0.1176%
Star Entertainment Group Ltd,SGR,0.1167%
Hankyu Hanshin Holdings Inc,9042,0.1167%
Hino Motors Ltd,7205,0.1157%
DiaSorin SpA,DIA,0.1157%
Far East Horizon Ltd,3360,0.1157%
Aalberts NV,AALB,0.1156%
Fuji Electric Co Ltd,6504,0.115%
Brother Industries Ltd,6448,0.1144%
Jtekt Corp,6473,0.1142%
Huhtamaki Oyj,HUH1V,0.1139%
Teijin Ltd,3401,0.1136%
Raiffeisen Bank International AG,RBI,0.1135%
