,Holding,Symbol,Weighting,Fund
1599,BNK Financial Group Inc,138930,0.0192%,EEM
1600,China Life Insurance Co Ltd,601628,0.0192%,EEM
1601,Thai Oil PCL,TOP-R,0.0191%,EEM
1602,Air China Ltd,753,0.0191%,EEM
1603,Hyundai Marine & Fire Insurance Co Ltd,001450,0.019%,EEM
1604,Bank of the Philippine Islands,BPI,0.0189%,EEM
1605,National Industrialization Company JSC,2060,0.0188%,EEM
1606,China Education Group Holdings Ltd,839,0.0188%,EEM
1607,Orange Polska SA,OPL,0.0187%,EEM
1608,Ruentex Development Co Ltd,9945,0.0187%,EEM
1609,Zhejiang Expressway Co Ltd,576,0.0185%,EEM
1610,Adaro Energy Tbk PT,ADRO,0.0185%,EEM
1611,Siemens Ltd,SIEM,0.0185%,EEM
1612,Qatar International Islamic Bank QPSC,QIIK,0.0185%,EEM
1613,Doosan Bobcat Inc,241560,0.0185%,EEM
1614,Fuyao Glass Industry Group Co Ltd,600660,0.0184%,EEM
1615,China Molybdenum Co Ltd,3993,0.0184%,EEM
1616,Jiangsu Hengli Hydraulic Co Ltd,601100,0.0183%,EEM
1617,Muangthai Capital PCL,MTC-R,0.0183%,EEM
1618,Vinda International Holdings Ltd,3331,0.0182%,EEM
1619,Indorama Ventures PCL,IVL-R,0.0182%,EEM
1620,China Hongqiao Group Ltd,1378,0.0181%,EEM
1621,Wens Foodstuff Group Co Ltd,300498,0.018%,EEM
1622,Focus Media Information Technology Co Ltd,002027,0.018%,EEM
1623,Telekom Malaysia Bhd,TM,0.018%,EEM
1624,Haitong Securities Co Ltd,600837,0.0179%,EEM
1625,True Corporation PCL,TRUE-R,0.0179%,EEM
1626,Moneta Money Bank as,MONET,0.0179%,EEM
1627,Fraser & Neave Holdings Bhd,F&N,0.0178%,EEM
1628,Srisawad Corporation PCL,SAWAD-R,0.0178%,EEM
1629,New Hope Liuhe Co Ltd,000876,0.0178%,EEM
1630,Bank of Shanghai Co Ltd,601229,0.0178%,EEM
1631,Asmedia Technology Inc,5269,0.0177%,EEM
1632,Rongsheng Petrochemical Co Ltd,002493,0.0177%,EEM
1633,Bangkok Commercial Asset Management PCL,BAM-R,0.0177%,EEM
1634,Guangdong Haid Group Co Ltd,002311,0.0177%,EEM
1635,ZTE Corp,000063,0.0177%,EEM
1636,Hualan Biological Engineering Inc,002007,0.0177%,EEM
1637,China Railway Group Ltd,601390,0.0176%,EEM
1638,China East Education Holdings Ltd,667,0.0176%,EEM
1639,Indocement Tunggal Prakarsa Tbk PT,INTP,0.0176%,EEM
1640,Hundsun Technologies Inc,600570,0.0176%,EEM
1641,Container Corporation of India Ltd,CONCOR,0.0176%,EEM
1642,Bank of China Ltd,601988,0.0175%,EEM
1643,CPFL Energia SA,CPFE3,0.0175%,EEM
1644,LIC Housing Finance Ltd,LICHF,0.0175%,EEM
1645,Magnitogorskiy Metallurgicheskiy Kombinat PAO,MAGN,0.0175%,EEM
1646,COSCO SHIPPING Holdings Co Ltd,1919,0.0174%,EEM
1647,PearlAbyss Corp,263750,0.0174%,EEM
1648,Beijing Capital International Airport Co Ltd,694,0.0172%,EEM
1649,Saudi Cement Company SJSC,3030,0.0171%,EEM
1650,Hengli Petrochemical Co Ltd,600346,0.0171%,EEM
1651,Indraprastha Gas Ltd,IGL,0.0171%,EEM
1652,China Traditional Chinese Medicine Holdings Co Ltd,570,0.017%,EEM
1653,IRB Brasil Resseguros SA,IRBR3,0.0169%,EEM
1654,COSCO SHIPPING Ports Ltd,1199,0.0169%,EEM
1655,Bank of Hangzhou Co Ltd,600926,0.0169%,EEM
1656,Hap Seng Consolidated Bhd,HAPSENG,0.0169%,EEM
1657,Lee & Man Paper Manufacturing Ltd,2314,0.0167%,EEM
1658,Metro Pacific Investments Corp,MPI,0.0166%,EEM
1659,BGrimm Power PCL,BGRIM-R,0.0165%,EEM
1660,Koolearn Technology Holding Ltd,1797,0.0164%,EEM
1661,Tongwei Co Ltd,600438,0.0163%,EEM
1662,CJ Corp,001040,0.0163%,EEM
1663,China Overseas Property Holdings Ltd,2669,0.0163%,EEM
1664,Beijing Oriental Yuhong Waterproof Technology Co Ltd,002271,0.0163%,EEM
1665,China Huarong Asset Management Co Ltd,2799,0.0163%,EEM
1666,Bank of Beijing Co Ltd,601169,0.0161%,EEM
1667,Emaar Malls PJSC,EMAARMALLS,0.0161%,EEM
1668,Bosideng International Holdings Ltd,3998,0.0161%,EEM
1669,Shanghai Lujiazui Finance & Trade Zone Development Co Ltd,900932,0.0159%,EEM
1670,Turkiye Is Bankasi AS,ISCTR,0.0158%,EEM
1671,Sanan Optoelectronics Co Ltd,600703,0.0157%,EEM
1672,Emaar The Economic City SJSC,4220,0.0156%,EEM
1673,GF Securities Co Ltd,000776,0.0156%,EEM
1674,China Merchants Shekou Industrial Zone Holdings Co Ltd,001979,0.0156%,EEM
1675,Grupo Carso SAB de CV,GCARSOA1,0.0156%,EEM
1676,Wingtech Technology Co Ltd,600745,0.0155%,EEM
1677,Anhui Gujing Distillery Co Ltd,000596,0.0155%,EEM
1678,Zhejiang Nhu Co Ltd,002001,0.0155%,EEM
1679,Multiplan Empreendimentos Imobiliarios SA,MULT3,0.0155%,EEM
1680,China Railway Construction Corp Ltd,601186,0.0155%,EEM
1681,Compania Cervecerias Unidas SA,CCU,0.0155%,EEM
1682,AK Medical Holdings Ltd,1789,0.0155%,EEM
1683,China Yuhua Education Corp Ltd,6169,0.0155%,EEM
1684,Luye Pharma Group Ltd,2186,0.0155%,EEM
1685,Shanghai Electric Group Co Ltd,2727,0.0154%,EEM
1686,Eastern Company SAE,EAST,0.0154%,EEM
1687,Haci Omer Sabanci Holding AS,SAHOL,0.0154%,EEM
1688,Standard Foods Corp,1227,0.0154%,EEM
1689,China Everbright Bank Co Ltd,6818,0.0153%,EEM
1690,NH Investment & Securities Co Ltd,005940,0.0153%,EEM
1691,Zhejiang Chint Electrics Co Ltd,601877,0.0152%,EEM
1692,China Industrial Securities Co Ltd,601377,0.0152%,EEM
1693,EVE Energy Co Ltd,300014,0.0152%,EEM
1694,Lens Technology Co Ltd,300433,0.0151%,EEM
1695,Will Semiconductor Co Ltd Shanghai,603501,0.0151%,EEM
1696,Anhui Gujing Distillery Co Ltd,200596,0.015%,EEM
1697,China Petroleum & Chemical Corp,600028,0.0149%,EEM
1698,Chongqing Rural Commercial Bank Co Ltd,3618,0.0149%,EEM
1699,Everbright Securities Co Ltd,601788,0.0148%,EEM
1700,Zhejiang Sanhua Intelligent Controls Co Ltd,002050,0.0148%,EEM
1701,Empresa Nacional de Telecomunicaciones SA,ENTEL,0.0148%,EEM
1702,Top Choice Medical Investment Co Inc,600763,0.0148%,EEM
1703,Hua Xia Bank Co Ltd,600015,0.0148%,EEM
1704,China Citic Bank Corp Ltd,601998,0.0147%,EEM
1705,REC Ltd,RECLTD,0.0147%,EEM
1706,Shandong Gold Mining Co Ltd,600547,0.0147%,EEM
1707,Krung Thai Bank PCL,KTB-R,0.0147%,EEM
1708,Shenzhen Investment Ltd,604,0.0147%,EEM
1709,China Shipbuilding Industry Co Ltd,601989,0.0146%,EEM
1710,AECC Aviation Power Co Ltd,600893,0.0146%,EEM
1711,Gemdale Corp,600383,0.0145%,EEM
1712,Westports Holdings Bhd,WPRTS,0.0145%,EEM
1713,Hithink RoyalFlush Information Network Co Ltd,300033,0.0145%,EEM
1714,SSY Group Ltd,2005,0.0144%,EEM
1715,Companhia Paranaense de Energia,CPLE6,0.0144%,EEM
1716,Rabigh Refining and Petrochemical Company SJSC,2380,0.0144%,EEM
1717,Aluminum Corp of China Ltd,2600,0.0144%,EEM
1718,Formosa Taffeta Co Ltd,1434,0.0143%,EEM
1719,Guosen Securities Co Ltd,002736,0.0142%,EEM
1720,China Southern Airlines Co Ltd,1055,0.0141%,EEM
1721,Noah Holdings Ltd,NOAH,0.0141%,EEM
1722,Glodon Co Ltd,002410,0.0141%,EEM
1723,Suning.Com Co Ltd,002024,0.0141%,EEM
1724,Changjiang Securities Co Ltd,000783,0.0141%,EEM
1725,Megacable Holdings SAB de CV,MEGACPO,0.0139%,EEM
1726,Weichai Power Co Ltd,000338,0.0139%,EEM
1727,Daqin Railway Co Ltd,601006,0.0139%,EEM
1728,Hanjaya Mandala Sampoerna Tbk PT,HMSP,0.0138%,EEM
1729,China Eastern Airlines Corp Ltd,600115,0.0138%,EEM
1730,Zhejiang Dahua Technology Co Ltd,002236,0.0137%,EEM
1731,Eva Airways Corp,2618,0.0137%,EEM
1732,Asymchem Laboratories Tian Jin Co Ltd,002821,0.0137%,EEM
1733,BGF Retail Co Ltd,282330,0.0137%,EEM
1734,Grupa Lotos SA,LTS,0.0136%,EEM
1735,AVIC Aircraft Co Ltd,000768,0.0136%,EEM
1736,Baoshan Iron & Steel Co Ltd,600019,0.0136%,EEM
1737,Momentum Metropolitan Holdings Ltd,MTM,0.0136%,EEM
1738,Wuhu Sanqi Interactive Entertainment Network Technology Group Co Ltd,002555,0.0135%,EEM
1739,Founder Securities Co Ltd,601901,0.0135%,EEM
1740,NARI Technology Co Ltd,600406,0.0135%,EEM
1741,Cielo SA,CIEL3,0.0135%,EEM
1742,Poly Property Services Co Ltd,6049,0.0135%,EEM
1743,Spring Airlines Co Ltd,601021,0.0134%,EEM
1744,AVIC Jonhon Optronic Technology Co Ltd,002179,0.0133%,EEM
1745,Hong Leong Financial Group Bhd,HLFG,0.0133%,EEM
1746,Zhenro Properties Group Ltd,6158,0.0133%,EEM
1747,Shenzhen Overseas Chinese Town Co Ltd,000069,0.0132%,EEM
1748,Porto Seguro SA,PSSA3,0.0131%,EEM
1749,China Resources Pharmaceutical Group Ltd,3320,0.0131%,EEM
1750,Hanwha Corp,000880,0.013%,EEM
1751,Bharti Infratel Ltd,BHIN,0.013%,EEM
1752,Pan Ocean Co Ltd,028670,0.0129%,EEM
1753,Becle SAB de CV,CUERVO*,0.0129%,EEM
1754,AVIC Capital Co Ltd,600705,0.0129%,EEM
1755,Inner Mongolia Yitai Coal Co Ltd,900948,0.0128%,EEM
1756,Metallurgical Corporation of China Ltd,601618,0.0128%,EEM
1757,Walvax Biotechnology Co Ltd,300142,0.0128%,EEM
1758,Tsingtao Brewery Co Ltd,600600,0.0128%,EEM
1759,Shanghai M&G Stationery Inc,603899,0.0127%,EEM
1760,GigaDevice Semiconductor Beijing Inc,603986,0.0127%,EEM
1761,Osotspa PCL,OSP-R,0.0126%,EEM
1762,Bank of Jiangsu Co Ltd,600919,0.0126%,EEM
1763,Shanghai Industrial Holdings Ltd,363,0.0126%,EEM
1764,Hangzhou Tigermed Consulting Co Ltd,300347,0.0125%,EEM
1765,Motor Oil Hellas Corinth Refineries SA,MOH,0.0125%,EEM
1766,GT Capital Holdings Inc,GTCAP,0.0125%,EEM
1767,Aguas Andinas SA,AGUAS-A,0.0124%,EEM
1768,Ford Otomotiv Sanayi AS,FROTO,0.0124%,EEM
1769,GS Retail Co Ltd,007070,0.0123%,EEM
1770,Guotai Junan Securities Co Ltd,2611,0.0123%,EEM
1771,Shriram Transport Finance Company Ltd,SHTF,0.0123%,EEM
1772,Aboitiz Power Corp,AP,0.0123%,EEM
1773,Unigroup Guoxin Microelectronics Co Ltd,002049,0.0122%,EEM
1774,Beijing New Building Materials Public Ltd Co,000786,0.0122%,EEM
1775,Daewoo Shipbuilding & Marine Engineering Co Ltd,042660,0.0122%,EEM
1776,Caitong Securities Co Ltd,601108,0.0121%,EEM
1777,China National Nuclear Power Co Ltd,601985,0.0121%,EEM
1778,XCMG Construction Machinery Co Ltd,000425,0.0121%,EEM
1779,Gd Power Development Co Ltd,600795,0.0121%,EEM
1780,China Molybdenum Co Ltd,603993,0.0121%,EEM
1781,Sichuan Chuantou Energy Co Ltd,600674,0.0121%,EEM
1782,NAURA Technology Group Co Ltd,002371,0.0121%,EEM
1783,Carlsberg Brewery Malaysia Bhd,CARLSBG,0.012%,EEM
1784,China Jushi Co Ltd,600176,0.012%,EEM
1785,Iflytek Co Ltd,002230,0.012%,EEM
1786,Meritz Securities Co Ltd,008560,0.0119%,EEM
1787,Lotte Shopping Co Ltd,023530,0.0119%,EEM
1788,Shanghai Construction Group Co Ltd,600170,0.0119%,EEM
1789,Zhejiang Supor Co Ltd,002032,0.0119%,EEM
1790,Seazen Holdings Co Ltd,601155,0.0119%,EEM
1791,Shaanxi Coal Industry Co Ltd,601225,0.0119%,EEM
1792,Puregold Price Club Inc,PGOLD,0.0119%,EEM
1793,Yifeng Pharmacy Chain Co Ltd,603939,0.0119%,EEM
1794,Krungthai Card PCL,KTC-R,0.0118%,EEM
1795,COSCO SHIPPING Holdings Co Ltd,601919,0.0118%,EEM
1796,Yuzhou Group Holdings Co Ltd,1628,0.0118%,EEM
1797,Total Access Communication PCL,DTAC-R,0.0118%,EEM
1798,Jiangsu King's Luck Brewery Joint-Stock Co Ltd,603369,0.0117%,EEM
1799,Shanghai Baosight Software Co Ltd,600845,0.0117%,EEM
1800,Genting Plantations Bhd,GENP,0.0117%,EEM
1801,Asset World Corp PCL,AWC-R,0.0117%,EEM
1802,Embotelladora Andina SA,ANDINA-B,0.0117%,EEM
1803,Bank of Nanjing Co Ltd,601009,0.0117%,EEM
1804,HUAYU Automotive Systems Co Ltd,600741,0.0116%,EEM
1805,Yonghui Superstores Co Ltd,601933,0.0116%,EEM
1806,Jonjee Hi-tech Industrial and Commercial Holding Co Ltd,600872,0.0115%,EEM
1807,Samsung Card Co Ltd,029780,0.0115%,EEM
1808,Songcheng Performance Development Co Ltd,300144,0.0115%,EEM
1809,Sangfor Technologies Inc,300454,0.0115%,EEM
1810,IRPC PCL,IRPC-R,0.0114%,EEM
1811,China Shenhua Energy Co Ltd,601088,0.0114%,EEM
1812,China National Chemical Engineering Co Ltd,601117,0.0114%,EEM
1813,Saudi Airlines Catering Company SJSC,6004,0.0114%,EEM
1814,Jafron Biomedical Co Ltd,300529,0.0113%,EEM
1815,Orient Securities Co Ltd,600958,0.0112%,EEM
1816,Perfect World Co Ltd,002624,0.0112%,EEM
1817,Megaworld Corp,MEG,0.0112%,EEM
1818,Sinopec Shanghai Petrochemical Co Ltd,338,0.0112%,EEM
1819,Turk Hava Yollari AO,THYAO,0.0112%,EEM
1820,Maanshan Iron & Steel Co Ltd,600808,0.0112%,EEM
1821,Jinke Property Group Co Ltd,000656,0.0111%,EEM
1822,BAIC Motor Corp Ltd,1958,0.0111%,EEM
1823,Juewei Food Co Ltd,603517,0.011%,EEM
1824,Inner Mongolia BaoTou Steel Union Co Ltd,600010,0.011%,EEM
1825,Perusahaan Gas Negara Tbk PT,PGAS,0.011%,EEM
1826,Surgutneftegaz PAO,SGGD,0.0109%,EEM
1827,Braskem SA,BRKM5,0.0108%,EEM
1828,COSCO Shipping Energy Transportation Co Ltd,1138,0.0108%,EEM
1829,Ottogi Corp,007310,0.0108%,EEM
1830,Yapi ve Kredi Bankasi AS,YKBNK,0.0108%,EEM
1831,Tianjin Zhonghuan Semiconductor Co Ltd,002129,0.0107%,EEM
1832,SDIC Capital Co Ltd,600061,0.0106%,EEM
1833,Beijing Enlight Media Co Ltd,300251,0.0106%,EEM
1834,Xinjiang Goldwind Science & Technology Co Ltd,002202,0.0105%,EEM
1835,Lotte Corp,004990,0.0104%,EEM
1836,Shanghai International Airport Co Ltd,600009,0.0104%,EEM
1837,Lepu Medical Technology Beijing Co Ltd,300003,0.0104%,EEM
1838,SDIC Power Holdings Co Ltd,600886,0.0104%,EEM
1839,Bank of Chengdu Co Ltd,601838,0.0103%,EEM
1840,Beijing Tongrentang Co Ltd,600085,0.0103%,EEM
1841,Sino-Ocean Group Holding Ltd,3377,0.0103%,EEM
1842,mBank SA,MBK,0.0102%,EEM
1843,Aisino Corp,600271,0.0102%,EEM
1844,Chongqing Changan Automobile Co Ltd,000625,0.0102%,EEM
1845,Risesun Real Estate Development Co Ltd,002146,0.0102%,EEM
1846,YPF SA,YPF,0.0101%,EEM
1847,Guangzhou Kingmed Diagnostics Group Co Ltd,603882,0.0101%,EEM
1848,Lingyi iTech Guangdong Co,002600,0.0101%,EEM
1849,Unisplendour Corp Ltd,000938,0.0101%,EEM
1850,Zhengzhou Yutong Bus Co Ltd,600066,0.01%,EEM
1851,Shenzhen Sunway Communication Co Ltd,300136,0.01%,EEM
1852,Robinsons Land Corp,RLC,0.01%,EEM
1853,BGI Genomics Co Ltd,300676,0.0099%,EEM
1854,Legend Holdings Corp,3396,0.0099%,EEM
1855,TMB Bank PCL,TMB-R,0.0098%,EEM
1856,Autobio Diagnostics Co Ltd,603658,0.0098%,EEM
1857,Ganfeng Lithium Co Ltd,002460,0.0098%,EEM
1858,Ovctek China Inc,300595,0.0097%,EEM
1859,Power Construction Corporation of China Ltd,601669,0.0097%,EEM
1860,China Fortune Land Development Co Ltd,600340,0.0096%,EEM
1861,Greenland Holdings Corp Ltd,600606,0.0096%,EEM
1862,China Construction Bank Corp,601939,0.0096%,EEM
1863,Hengyi Petrochemical Co Ltd,000703,0.0096%,EEM
1864,First Capital Securities Co Ltd,002797,0.0096%,EEM
1865,Meinian Onehealth Healthcare Holdings Co Ltd,002044,0.0095%,EEM
1866,Beijing Tiantan Biological Products Corp Ltd,600161,0.0095%,EEM
1867,BEST Inc,BEST,0.0094%,EEM
1868,Shennan Circuits Co Ltd,002916,0.0094%,EEM
1869,"Shenzhen Goodix Technology Co., Ltd.",603160,0.0094%,EEM
1870,Cencosud Shopping SA,CENCOSHOPP,0.0093%,EEM
1871,China Northern Rare Earth Group High-Tech Co Ltd,600111,0.0093%,EEM
1872,Yunnan Energy New Material Co Ltd,002812,0.0093%,EEM
1873,Anadolu Efes Biracilik ve Malt Sanayii AS,AEFES,0.0093%,EEM
1874,Guangzhou Baiyunshan Pharmaceutical Holdings Co Ltd,600332,0.0092%,EEM
1875,Soho China Ltd,410,0.0092%,EEM
1876,Beijing Shunxin Agriculture Co Ltd,000860,0.0091%,EEM
1877,Dawning Information Industry Co Ltd,603019,0.0091%,EEM
1878,Avicopter PLC,600038,0.0091%,EEM
1879,Korea Gas Corp,036460,0.0091%,EEM
1880,Huadong Medicine Co Ltd,000963,0.0091%,EEM
1881,Telecom Argentina SA,TEO,0.009%,EEM
1882,Shanghai International Port Group Co Ltd,600018,0.009%,EEM
1883,Posco International Corp,047050,0.0089%,EEM
1884,Guangzhou Shiyuan Electronic Technology Co Ltd,002841,0.0089%,EEM
1885,Sinopec Engineering Group Co Ltd,2386,0.0089%,EEM
1886,China Railway Signal & Communication Corp Ltd,3969,0.0088%,EEM
1887,Foxconn Industrial Internet Co Ltd,601138,0.0088%,EEM
1888,Hangzhou Robam Appliances Co Ltd,002508,0.0087%,EEM
1889,Wuhan Guide Infrared Co Ltd,002414,0.0087%,EEM
1890,Shengyi Technology Co Ltd,600183,0.0087%,EEM
1891,Yealink Network Technology Co Ltd,300628,0.0086%,EEM
1892,Wuxi Lead Intelligent Equipment Co Ltd,300450,0.0084%,EEM
1893,Zoomlion Heavy Industry Science and Technology Co Ltd,000157,0.0084%,EEM
1894,Avic Shenyang Aircraft Co Ltd,600760,0.0084%,EEM
1895,China Greatwall Technology Group Co Ltd,000066,0.0084%,EEM
1896,China Southern Airlines Co Ltd,600029,0.0083%,EEM
1897,Centre Testing International Group Co Ltd,300012,0.0082%,EEM
1898,Betta Pharmaceuticals Co Ltd,300558,0.0082%,EEM
1899,Winning Health Technology Group Co Ltd,300253,0.0081%,EEM
1900,YTL Corporation Bhd,YTL,0.008%,EEM
1901,Habib Bank Ltd,HBL,0.008%,EEM
1902,China Reinsurance Group Corp,1508,0.008%,EEM
1903,Beijing Sinnet Technology Co Ltd,300383,0.0078%,EEM
1904,China TransInfo Technology Co Ltd,002373,0.0078%,EEM
1905,Jiangsu Zhongnan Construction Group Co Ltd,000961,0.0078%,EEM
1906,China Galaxy Securities Co Ltd,601881,0.0078%,EEM
1907,Shenzhen Expressway Co Ltd,548,0.0077%,EEM
1908,Beijing Shiji Information Technology Co Ltd,002153,0.0076%,EEM
1909,Anhui Kouzi Distillery Co Ltd,603589,0.0076%,EEM
1910,Jiangxi Zhengbang Technology Co Ltd,002157,0.0076%,EEM
1911,YUNDA Holding Co Ltd,002120,0.0076%,EEM
1912,XL Axiata Tbk PT,EXCL,0.0075%,EEM
1913,Venustech Group Inc,002439,0.0075%,EEM
1914,PetroChina Co Ltd,601857,0.0075%,EEM
1915,Offcn Education Technology Co Ltd,002607,0.0075%,EEM
1916,Zhejiang Huahai Pharmaceutical Co Ltd,600521,0.0075%,EEM
1917,Sichuan Kelun Pharmaceutical Co Ltd,002422,0.0074%,EEM
1918,MCB Bank Ltd,MCB,0.0074%,EEM
1919,Maxscend Microelectronics Co Ltd,300782,0.0074%,EEM
1920,Nanjing King-friend Biochemical Pharmaceutical Co Ltd,603707,0.0074%,EEM
1921,AmorePacific Corp,090435,0.0074%,EEM
1922,Oil and Gas Development Co Ltd,OGDC,0.0073%,EEM
1923,Inspur Electronic Information Industry Co Ltd,000977,0.0072%,EEM
1924,Huaxin Cement Co Ltd,600801,0.0072%,EEM
1925,Hubei Biocause Pharmaceutical Co Ltd,000627,0.0072%,EEM
1926,Pepkor Holdings Ltd,PPH,0.0072%,EEM
1927,Hengtong Optic-Electric Co Ltd,600487,0.0072%,EEM
1928,Zheshang Securities Co Ltd,601878,0.0071%,EEM
1929,Inner Mongolia Junzheng Energy & Chemical Group Co Ltd,601216,0.0071%,EEM
1930,Suzhou Dongshan Precision Manufacturing Co Ltd,002384,0.0071%,EEM
1931,Ace Hardware Indonesia Tbk PT,ACES,0.007%,EEM
1932,Tianma Microelectronics Co Ltd,000050,0.007%,EEM
1933,Sichuan Swellfun Co Ltd,600779,0.0069%,EEM
1934,Xinjiang Goldwind Science & Technology Co Ltd,2208,0.0069%,EEM
1935,China Eastern Airlines Corp Ltd,670,0.0069%,EEM
1936,Nanjing Securities Co Ltd,601990,0.0069%,EEM
1937,El Sewedy Electric Co SAE,SWDY,0.0069%,EEM
1938,China National Software & Service Co Ltd,600536,0.0068%,EEM
1939,Chaozhou Three-circle Group Co Ltd,300408,0.0068%,EEM
1940,Zhejiang Century Huatong Group Co Ltd,002602,0.0068%,EEM
1941,OFILM Group Co Ltd,002456,0.0068%,EEM
1942,Air China Ltd,601111,0.0066%,EEM
1943,Shanghai RAAS Blood Products Co Ltd,002252,0.0066%,EEM
1944,China Merchants Energy Shipping Co Ltd,601872,0.0065%,EEM
1945,NavInfo Co Ltd,002405,0.0065%,EEM
1946,Yantai Jereh Oilfield Services Group Co Ltd,002353,0.0064%,EEM
1947,Angang Steel Co Ltd,000898,0.0063%,EEM
1948,SG Micro Corp,300661,0.0063%,EEM
1949,Zhejiang Huayou Cobalt Co Ltd,603799,0.0062%,EEM
1950,China Spacesat Co Ltd,600118,0.0062%,EEM
1951,Zhejiang Longsheng Group Co Ltd,600352,0.0062%,EEM
1952,China Resources Sanjiu Medical & Pharmaceutical Co Ltd,000999,0.0061%,EEM
1953,Tonghua Dongbao Pharmaceutical Co Ltd,600867,0.0061%,EEM
1954,Guangzhou Baiyun International Airport Co Ltd,600004,0.006%,EEM
1955,NanJi E-Commerce Co Ltd,002127,0.006%,EEM
1956,Ninestar Corp,002180,0.0059%,EEM
1957,Zhejiang Wolwo Bio-Pharmaceutical Co Ltd,300357,0.0059%,EEM
1958,DHC Software Co Ltd,002065,0.0058%,EEM
1959,Fiberhome Telecommunication Technologies Co Ltd,600498,0.0056%,EEM
1960,Wus Printed Circuit Kunshan Co Ltd,002463,0.0056%,EEM
1961,Shanghai Pharmaceuticals Holding Co Ltd,601607,0.0055%,EEM
1962,Tianqi Lithium Corp,002466,0.0055%,EEM
1963,Aluminum Corp of China Ltd,601600,0.0054%,EEM
1964,People's Insurance Company Group of China Ltd,601319,0.0052%,EEM
1965,Xinhu Zhongbao Co Ltd,600208,0.0051%,EEM
1966,360 Security Technology Inc,601360,0.0051%,EEM
1967,Zhongji Innolight Co Ltd,300308,0.0051%,EEM
1968,Transfar Zhilian Co Ltd,002010,0.0048%,EEM
1969,Shanxi Meijin Energy Co Ltd,000723,0.0046%,EEM
1970,Ningbo Joyson Electronic Corp,600699,0.0044%,EEM
1971,Jiangxi Copper Co Ltd,600362,0.0041%,EEM
1972,Wanda Film Holding Co Ltd,002739,0.0039%,EEM
1973,GCL System Integration Technology Co Ltd,002506,0.0037%,EEM
1974,FangDa Carbon New Material Co Ltd,600516,0.0021%,EEM
1975,Dongxing Securities Co Ltd,601198,0.002%,EEM
1976,Western Securities Co Ltd,002673,0.0015%,EEM
1977,Oriental Pearl Group Co Ltd,600637,0.0012%,EEM
1978,Shanghai Electric Group Co Ltd,601727,0.0011%,EEM
1979,Shanghai Industrial Urban Development Group Ltd,563,0.0002%,EEM
1980,ENKA Insaat ve Sanayi AS,ENKAI,0.0%,EEM
1981,Abbott Laboratories,ABT,13.9724%,IHI
1982,Thermo Fisher Scientific Inc,TMO,12.8905%,IHI
1983,Medtronic PLC,MDT,10.3559%,IHI
1984,Danaher Corp,DHR,8.3672%,IHI
1985,Stryker Corp,SYK,4.5077%,IHI
1986,Intuitive Surgical Inc,ISRG,4.357%,IHI
1987,Becton Dickinson and Co,BDX,4.3275%,IHI
1988,Edwards Lifesciences Corp,EW,4.1428%,IHI
1989,Boston Scientific Corp,BSX,4.1124%,IHI
1990,Baxter International Inc,BAX,3.4068%,IHI
1991,DexCom Inc,DXCM,3.2762%,IHI
1992,IDEXX Laboratories Inc,IDXX,2.7867%,IHI
1993,Zimmer Biomet Holdings Inc,ZBH,2.3502%,IHI
1994,Resmed Inc,RMD,2.1288%,IHI
1995,Hologic Inc,HOLX,1.4571%,IHI
1996,Varian Medical Systems Inc,VAR,1.3337%,IHI
1997,Teleflex Inc,TFX,1.3281%,IHI
1998,Insulet Corp,PODD,1.2958%,IHI
1999,Steris plc,STE,1.2507%,IHI
2000,ABIOMED Inc,ABMD,1.0443%,IHI
2001,Waters Corp,WAT,1.019%,IHI
2002,Masimo Corp,MASI,0.9992%,IHI
2003,Bio Rad Laboratories Inc,BIO,0.9375%,IHI
2004,Novocure Ltd,NVCR,0.7767%,IHI
2005,Tandem Diabetes Care Inc,TNDM,0.5835%,IHI
2006,iRhythm Technologies Inc,IRTC,0.5695%,IHI
2007,Penumbra Inc,PEN,0.5527%,IHI
2008,Hill-Rom Holdings Inc,HRC,0.4644%,IHI
2009,Nevro Corp,NVRO,0.405%,IHI
2010,Bruker Corp,BRKR,0.3489%,IHI
2011,Wright Medical Group NV,WMGI,0.3354%,IHI
2012,Envista Holdings Corp,NVST,0.3299%,IHI
2013,Globus Medical Inc,GMED,0.3134%,IHI
2014,Integra Lifesciences Holdings Corp,IART,0.2796%,IHI
2015,Cash Component,CASH,0.2364%,IHI
2016,STAAR Surgical Co,STAA,0.2195%,IHI
2017,NuVasive Inc,NUVA,0.2068%,IHI
2018,Shockwave Medical Inc,SWAV,0.1958%,IHI
2019,Glaukos Corp,GKOS,0.1937%,IHI
2020,Conmed Corp,CNMD,0.1875%,IHI
2021,LivaNova PLC,LIVN,0.1796%,IHI
2022,Integer Holdings Corp,ITGR,0.164%,IHI
2023,Cryoport Inc,CYRX,0.1584%,IHI
2024,AtriCure Inc,ATRC,0.153%,IHI
2025,NanoString Technologies Inc,NSTG,0.1477%,IHI
2026,Cantel Medical Corp,CMD,0.142%,IHI
2027,BioTelemetry Inc,BEAT,0.1302%,IHI
2028,Cardiovascular Systems Inc,CSII,0.1245%,IHI
2029,Axonics Modulation Technologies Inc,AXNX,0.1226%,IHI
2030,Mesa Laboratories Inc,MLAB,0.1055%,IHI
2031,Genmark Diagnostics Inc,GNMK,0.0804%,IHI
2032,Heska Corp,HSKA,0.0748%,IHI
