,Holding,Symbol,Weighting,Fund
67,L3harris Technologies Inc,LHX,0.3144%,DGRW
68,Ecolab Inc,ECL,0.3131%,DGRW
69,Applied Materials Inc,AMAT,0.3128%,DGRW
70,Sherwin-Williams Co,SHW,0.2869%,DGRW
71,Constellation Brands Inc,STZ,0.2821%,DGRW
72,Conagra Brands Inc,CAG,0.2813%,DGRW
73,Rockwell Automation Inc,ROK,0.2788%,DGRW
74,Intuit Inc,INTU,0.2763%,DGRW
75,KLA Corp,KLAC,0.2437%,DGRW
76,Dollar General Corp,DG,0.2386%,DGRW
77,Parker-Hannifin Corp,PH,0.2384%,DGRW
78,Hershey Co,HSY,0.2353%,DGRW
79,Campbell Soup Co,CPB,0.2304%,DGRW
80,PPG Industries Inc,PPG,0.2299%,DGRW
81,Stanley Black & Decker Inc,SWK,0.2232%,DGRW
82,Activision Blizzard Inc,ATVI,0.22%,DGRW
83,Zoetis Inc,ZTS,0.218%,DGRW
84,ViacomCBS Inc,VIAC,0.2155%,DGRW
85,Franklin Resources Inc,BEN,0.2143%,DGRW
86,Thermo Fisher Scientific Inc,TMO,0.2119%,DGRW
87,Cognizant Technology Solutions Corp,CTSH,0.2048%,DGRW
88,Synchrony Financial,SYF,0.2036%,DGRW
89,CH Robinson Worldwide Inc,CHRW,0.1982%,DGRW
90,Arthur J Gallagher & Co,AJG,0.1917%,DGRW
91,Eastman Chemical Co,EMN,0.1882%,DGRW
92,Discover Financial Services,DFS,0.1878%,DGRW
93,McCormick & Company Inc,MKC,0.1853%,DGRW
94,D.R. Horton Inc,DHI,0.1836%,DGRW
95,Humana Inc,HUM,0.1796%,DGRW
96,Tyson Foods Inc,TSN,0.175%,DGRW
97,Cintas Corp,CTAS,0.1746%,DGRW
98,Xilinx Inc,XLNX,0.1727%,DGRW
99,W W Grainger Inc,GWW,0.1718%,DGRW
100,KKR & Co Inc,KKR,0.1696%,DGRW
101,Church & Dwight Co Inc,CHD,0.1661%,DGRW
102,Skyworks Solutions Inc,SWKS,0.1643%,DGRW
103,Cash Component,CASH,0.1611%,DGRW
104,Packaging Corp of America,PKG,0.1592%,DGRW
105,International Flavors & Fragrances Inc,IFF,0.1581%,DGRW
106,Hasbro Inc,HAS,0.1552%,DGRW
107,Dover Corp,DOV,0.1496%,DGRW
108,Agilent Technologies Inc,A,0.1426%,DGRW
109,Watsco Inc,WSO,0.1417%,DGRW
110,Interpublic Group of Companies Inc,IPG,0.1405%,DGRW
111,Resmed Inc,RMD,0.1404%,DGRW
112,Brown-Forman Corp,BF.B,0.1376%,DGRW
113,Celanese Corp,CE,0.1347%,DGRW
114,Tractor Supply Co,TSCO,0.1318%,DGRW
115,Roper Technologies Inc,ROP,0.1305%,DGRW
