VTV: Vanguard Value ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	50578353
Shares Outstanding: 488161000
Expense Ratio: 0.04%
Tracks This Index: MSCI US Prime Market Value Index
ETFdb.com Category: Large Cap Blend Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VTV


Holding,Symbol,Weighting
American Express Co,AXP,0.4755%
Southern Co,SO,0.4561%
Morgan Stanley,MS,0.4486%
Progressive Corp,PGR,0.4434%
Norfolk Southern Corp,NSC,0.4416%
Illinois Tool Works Inc,ITW,0.4407%
Humana Inc,HUM,0.434%
General Electric Co,GE,0.4307%
Newmont Corporation,NEM,0.4047%
Truist Financial Corp,TFC,0.4015%
Kimberly-Clark Corp,KMB,0.4011%
Northrop Grumman Corp,NOC,0.3893%
Waste Management Inc,WM,0.3853%
U.S. Bancorp,USB,0.3843%
PNC Financial Services Group Inc,PNC,0.3633%
Biogen Inc,BIIB,0.3597%
Chubb Ltd,CB,0.3531%
Charles Schwab Corp,SCHW,0.3343%
Dupont De Nemours Inc,DD,0.326%
Eaton Corporation PLC,ETN,0.3242%
American Electric Power Company Inc,AEP,0.322%
Emerson Electric Co,EMR,0.3119%
Cognizant Technology Solutions Corp,CTSH,0.301%
General Motors Co,GM,0.2974%
Prologis Inc,PLD,0.2961%
General Mills Inc,GIS,0.2935%
Xcel Energy Inc,XEL,0.2889%
eBay Inc,EBAY,0.2805%
ConocoPhillips,COP,0.2795%
Dow Inc,DOW,0.2769%
Exelon Corp,EXC,0.2768%
General Dynamics Corp,GD,0.2728%
Sempra Energy,SRE,0.2691%
HCA Healthcare Inc,HCA,0.2598%
TE Connectivity Ltd,TEL,0.2596%
Capital One Financial Corp,COF,0.2584%
Cummins Inc,CMI,0.2548%
T-Mobile US Inc,TMUS,0.2542%
WEC Energy Group Inc,WEC,0.2463%
Johnson Controls International PLC,JCI,0.2451%
Paccar Inc,PCAR,0.2395%
Constellation Brands Inc,STZ,0.2389%
Sysco Corp,SYY,0.2385%
Allstate Corp,ALL,0.2345%
Trane Technologies PLC,TT,0.234%
Marsh & McLennan Companies Inc,MMC,0.2334%
PPG Industries Inc,PPG,0.2276%
Eversource Energy,ES,0.2275%
Public Service Enterprise Group Inc,PEG,0.2221%
Zimmer Biomet Holdings Inc,ZBH,0.2215%
T. Rowe Price Group Inc,TROW,0.2215%
Travelers Companies Inc,TRV,0.2198%
HP Inc,HPQ,0.2177%
Bank of New York Mellon Corp,BK,0.2171%
Willis Towers Watson PLC,WLTW,0.2169%
Otis Worldwide Corp,OTIS,0.2168%
Carrier Global Corp,CARR,0.2119%
American Water Works Company Inc,AWK,0.2108%
Parker-Hannifin Corp,PH,0.2107%
Walgreens Boots Alliance Inc,WBA,0.209%
Consolidated Edison Inc,ED,0.208%
Ford Motor Co,F,0.2074%
Archer-Daniels-Midland Co,ADM,0.2059%
D.R. Horton Inc,DHI,0.2058%
Stanley Black & Decker Inc,SWK,0.2057%
Best Buy Co Inc,BBY,0.204%
MetLife Inc,MET,0.2016%
Kroger Co,KR,0.2008%
Prudential Financial Inc,PRU,0.1997%
Aptiv PLC,APTV,0.1987%
Williams Companies Inc,WMB,0.1979%
Fortive Corp,FTV,0.1971%
Corning Inc,GLW,0.1962%
Aflac Inc,AFL,0.1961%
Kinder Morgan Inc,KMI,0.1927%
Mckesson Corp,MCK,0.1924%
American International Group Inc,AIG,0.1886%
Marriott International Inc,MAR,0.1835%
Phillips 66,PSX,0.1834%
Welltower Inc,WELL,0.1831%
Lennar Corp,LEN,0.1829%
Southwest Airlines Co,LUV,0.1786%
Freeport-McMoRan Inc,FCX,0.1786%
DTE Energy Co,DTE,0.1767%
VF Corp,VFC,0.1748%
Schlumberger NV,SLB,0.1741%
Corteva Inc,CTVA,0.1722%
Weyerhaeuser Co,WY,0.1679%
PPL Corp,PPL,0.166%
Liberty Broadband Corp,LBRDK,0.1657%
Avalonbay Communities Inc,AVB,0.1652%
State Street Corp,STT,0.1618%
Baxter International Inc,BAX,0.1618%
Kraft Heinz Co,KHC,0.1599%
Simon Property Group Inc,SPG,0.1581%
Delta Air Lines Inc,DAL,0.1572%
