EEM: iShares MSCI Emerging Markets ETF
Inception Date: 2003-04-11
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	23336744
Shares Outstanding: 539100000
Expense Ratio: 0.68%
Tracks This Index: MSCI Emerging Markets Index
ETFdb.com Category: Emerging Markets Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/EEM


Holding,Symbol,Weighting
HDFC Standard Life Insurance Company Ltd,HDFCLIFE,0.0851%
Novatek Microelectronics Corp,3034,0.0839%
Taiwan Mobile Co Ltd,3045,0.0838%
Magnit PAO,MGNT,0.0834%
Qatar Islamic Bank QPSC,QIBK,0.0828%
Ping An Healthcare and Technology Co Ltd,1833,0.0819%
Hua Nan Financial Holdings Co Ltd,2880,0.0815%
President Chain Store Corp,2912,0.0811%
Celltrion HealthCare Co Ltd,091990,0.0809%
Bid Corporation Ltd,BID,0.0806%
Samsung SDS Co Ltd,018260,0.0805%
China Vanke Co Ltd,2202,0.0803%
IQIYI Inc,IQ,0.0799%
Banque Saudi Fransi SJSC,1050,0.078%
Nestle India Ltd,NEST,0.0778%
Industries Qatar QPSC,IQCD,0.0773%
Shandong Weigao Group Medical Polymer Co Ltd,1066,0.0771%
Hengan International Group Company Ltd,1044,0.0768%
China National Building Material Co Ltd,3323,0.0768%
Titan Company Ltd,TTAN,0.0762%
Samsung Fire & Marine Insurance Co Ltd,000810,0.0761%
Wipro Ltd,WPRO,0.0756%
Tech Mahindra Ltd,TECHM,0.0754%
Shimao Group Holdings Ltd,813,0.0752%
Saudi British Bank SJSC,1060,0.0749%
Guangdong Investment Ltd,270,0.0747%
Powszechna Kasa Oszczednosci Bank Polski SA,PKO,0.0746%
Silergy Corp,6415,0.074%
PICC Property and Casualty Co Ltd,2328,0.074%
Alinma Bank SJSC,1150,0.0739%
Ayala Land Inc,ALI,0.0733%
Haier Electronics Group Co Ltd,1169,0.0731%
Vodacom Group Ltd,VOD,0.0731%
Shanghai Commercial & Savings Bank Ltd,5876,0.073%
Bilibili Inc,BILI,0.0728%
X5 Retail Group NV,FIVE,0.0724%
Lenovo Group Ltd,992,0.0721%
Lojas Americanas SA,LAME4,0.0721%
Suzano SA,SUZB3,0.0715%
JOYY Inc,YY,0.0713%
Jiangsu Hengrui Medicine Co Ltd,600276,0.071%
AmorePacific Corp,090430,0.071%
SM Investments Corp,SM,0.0708%
Avenue Supermarts Ltd,DMART,0.0708%
Yageo Corp,2327,0.0704%
State Bank of India,SBIN,0.07%
Banco do Brasil SA,BBAS3,0.07%
Korea Electric Power Corp,015760,0.07%
CITIC Securities Co Ltd,6030,0.07%
Enel Americas SA,ENELAM,0.0693%
Abu Dhabi Commercial Bank PJSC,ADCB,0.0692%
Sasol Ltd,SOL,0.0687%
SBI Life Insurance Company Ltd,SBILIFE,0.0683%
Cimb Group Holdings Bhd,CIMB,0.0681%
Taishin Financial Holding Co Ltd,2887,0.0678%
Masraf Al Rayan QPSC,MARK,0.0675%
KGHM Polska Miedz SA,KGH,0.0674%
Banco Bradesco SA,BBDC3,0.067%
Hero MotoCorp Ltd,HEROMOTOCO,0.0665%
Raia Drogasil SA,RADL3,0.0663%
Contemporary Amperex Technology Co Ltd,300750,0.0661%
Pegatron Corp,4938,0.0657%
Kingsoft Corp Ltd,3888,0.0656%
Catcher Technology Co Ltd,2474,0.065%
CITIC Ltd,267,0.0648%
Shoprite Holdings Ltd,SHP,0.0642%
Ayala Corp,AC,0.0641%
Unilever Indonesia Tbk PT,UNVR,0.064%
China Tourism Group Duty Free Corp Ltd,601888,0.0637%
Capitec Bank Holdings Ltd,CPI,0.0635%
Woori Financial Group Inc,316140,0.0632%
Sinopac Financial Holdings Co Ltd,2890,0.063%
China Resources Gas Group Ltd,1193,0.063%
Power Grid Corporation of India Ltd,PWGR,0.0628%
BIM Birlesik Magazalar AS,BIMAS,0.0627%
China Evergrande Group,3333,0.0626%
Eicher Motors Ltd,EICHERMOT,0.0626%
Saudi Electricity Company SJSC,5110,0.0624%
Seegene Inc,096530,0.0624%
China Unicom Hong Kong Ltd,762,0.0623%
Mobil'nye Telesistemy PAO,MBT,0.0622%
Foshan Haitian Flavouring and Food Co Ltd,603288,0.0622%
Accton Technology Corp,2345,0.0619%
HLB Inc,028300,0.0617%
AAC Technologies Holdings Inc,2018,0.0616%
Anglo American Platinum Ltd,AMS,0.0615%
JBS SA,JBSS3,0.0615%
China Telecom Corp Ltd,728,0.0612%
Gerdau SA,GGBR4,0.0612%
Postal Savings Bank of China Co Ltd,1658,0.0611%
Godrej Consumer Products Ltd,GCPL,0.061%
Powszechny Zaklad Ubezpieczen SA,PZU,0.0606%
Advantech Co Ltd,2395,0.0601%
China Development Financial Holding Corp,2883,0.06%
Great Wall Motor Co Ltd,2333,0.06%
Yanbu National Petrochemicals Company SJSC,2290,0.0599%
Weichai Power Co Ltd,2338,0.0597%
Intouch Holdings PCL,INTUCH-R,0.0597%
Southern Copper Corp,SCCO,0.0595%
Rumo SA,RAIL3,0.0593%
Absa Group Ltd,ABG,0.059%
Via Varejo SA,VVAR3,0.059%
China Yangtze Power Co Ltd,600900,0.0589%
Northam Platinum Ltd,NHM,0.0587%
