EEM: iShares MSCI Emerging Markets ETF
Inception Date: 2003-04-11
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	23336744
Shares Outstanding: 539100000
Expense Ratio: 0.68%
Tracks This Index: MSCI Emerging Markets Index
ETFdb.com Category: Emerging Markets Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/EEM


Holding,Symbol,Weighting
TIM Participacoes SA,TIMP3,0.0319%
Nien Made Enterprise Co Ltd,8464,0.0319%
Mr Price Group Ltd,MRP,0.0318%
Energy Absolute PCL,EA-R,0.0318%
S-Oil Corp,010950,0.0316%
Hankook Tire & Technology Co Ltd,161390,0.0315%
Turkiye Garanti Bankasi AS,GARAN,0.0313%
Axiata Group Bhd,AXIATA,0.0313%
Inner Mongolia Yili Industrial Group Co Ltd,600887,0.0313%
China Longyuan Power Group Corp Ltd,916,0.0312%
Sany Heavy Industry Co Ltd,600031,0.0312%
Hanon Systems,018880,0.0311%
Kossan Rubber Industries Bhd,KOSSAN,0.0311%
Jumbo SA,BELA,0.0311%
Minor International PCL,MINT-R,0.0309%
ICICI Prudential Life Insurance Company Ltd,ICICIPRULI,0.0309%
LG Innotek Co Ltd,011070,0.0307%
Companhia Brasileira de Distribuicao,PCAR3,0.0307%
DB Insurance Co Ltd,005830,0.0306%
Enel Chile SA,ENELCHILE,0.0306%
Xpeng Inc,XPEV,0.0306%
LG Uplus Corp,032640,0.0306%
China Minsheng Banking Corp Ltd,600016,0.0305%
Akbank TAS,AKBNK,0.0304%
Shanghai Fosun Pharmaceutical Group Co Ltd,2196,0.0304%
Bupa Arabia for Cooperative Insurance Company SJSC,8210,0.0304%
CGN Power Co Ltd,1816,0.0303%
Ambuja Cements Ltd,ACEM,0.0302%
Far East Horizon Ltd,3360,0.0302%
Petronet LNG Ltd,PLNG,0.0302%
Cosan SA,CSAN3,0.0301%
Coal India Ltd,COAL,0.0301%
Weibo Corp,WB,0.03%
Kumba Iron Ore Ltd,KIO,0.0299%
Greek Organisation of Football Prognostics SA,OPAP,0.0299%
Inventec Corp,2356,0.0298%
GAIL (India) Ltd,GAIL,0.0297%
Cyfrowy Polsat SA,CPS,0.0296%
China Life Insurance Co Ltd,2823,0.0296%
Aboitiz Equity Ventures Inc,AEV,0.0295%
Banco Santander Brasil SA,SANB11,0.0295%
Indian Oil Corpn Ltd,IOCL,0.0294%
Bank of Communications Co Ltd,601328,0.0294%
Aier Eye Hospital Group Co Ltd,300015,0.0293%
Press Metal Aluminium Holdings Bhd,PMETAL,0.0293%
Synnex Technology International Corp,2347,0.0293%
Companhia Siderurgica Nacional,CSNA3,0.0292%
Seazen Group Ltd,1030,0.0292%
China Lesso Group Holdings Ltd,2128,0.0292%
Byd Co Ltd,002594,0.0291%
Exxaro Resources Ltd,EXX,0.0291%
ZhongAn Online P & C Insurance Co Ltd,6060,0.029%
Semen Indonesia (Persero) Tbk PT,SMGR,0.029%
Zhuzhou CRRC Times Electric Co Ltd,3898,0.029%
Chongqing Zhifei Biological Products Co Ltd,300122,0.0289%
Daelim Industrial Co Ltd,000210,0.0289%
Berger Paints India Ltd,BERGEPAINT,0.0288%
Hyundai Steel Co,004020,0.0288%
Hyundai Heavy Industries Holdings Co Ltd,267250,0.0288%
BRF SA,BRFS3,0.0287%
Wiwynn Corp,6669,0.0286%
Barwa Real Estate Company QPSC,BRES,0.0285%
Hua Hong Semiconductor Ltd,1347,0.0285%
China Pacific Insurance Group Co Ltd,601601,0.0285%
Electricity Generating PCL,EGCO-R,0.0284%
Alfa SAB de CV,ALFAA,0.0283%
Torrent Pharmaceuticals Ltd,TRP,0.0283%
KMW Co Ltd,032500,0.0282%
ZTE Corp,763,0.0281%
Tiger Brands Ltd,TBS,0.0281%
Land and Houses PCL,LH-R,0.028%
Arca Continental SAB de CV,AC*,0.028%
Orbia Advance Corporation SAB de CV,ORBIA*,0.028%
Bank of Ningbo Co Ltd,002142,0.0279%
Siam Commercial Bank PCL,SCB-R,0.0279%
RHB Bank Bhd,RHBBANK,0.0278%
Sinotruk Hong Kong Ltd,3808,0.0278%
Kumho Petro Chemical Co Ltd,011780,0.0276%
Shanxi Xinghuacun Fen Wine Factory Co Ltd,600809,0.0276%
East Money Information Co Ltd,300059,0.0276%
Hyundai Motor Co,005385,0.0275%
Chicony Electronics Co Ltd,2385,0.0274%
Poly Developments and Holdings Group Co Ltd,600048,0.0274%
Bank Aljazira JSC,1020,0.0274%
China State Construction Engineering Corp Ltd,601668,0.0274%
Grupo Financiero Inbursa SAB de CV,GFINBURO,0.0274%
Industrial Bank of Korea,024110,0.0274%
Companhia Energetica de Minas Gerais CEMIG,CMIG4,0.0273%
Duzon Bizon Co Ltd,012510,0.0272%
Genting Bhd,GENTING,0.0269%
Foxconn Technology Co Ltd,2354,0.0267%
Dongfeng Motor Group Co Ltd,489,0.0267%
China Railway Group Ltd,390,0.0267%
GF Securities Co Ltd,1776,0.0266%
Jiangsu Yanghe Brewery Joint-Stock Co Ltd,002304,0.0266%
Cogna Educacao SA,COGN3,0.0265%
Walsin Technology Corp,2492,0.0265%
NEPI Rockcastle PLC,NRP,0.0264%
Sime Darby Bhd,SIME,0.0264%
Agile Group Holdings Ltd,3383,0.0264%
Taiwan Business Bank,2834,0.0264%
Shenzhen International Holdings Ltd,152,0.0264%
Tata Steel Ltd,TATA,0.0263%
New China Life Insurance Co Ltd,601336,0.0263%
Banco de Credito e Inversiones,BCI,0.0263%
Greentown Service Group Co Ltd,2869,0.0263%
Aselsan Elektronik Sanayi ve Ticaret AS,ASELS,0.0262%
Eregli Demir ve Celik Fabrikalari TAS,EREGL,0.0262%
Topsports International Holdings Ltd,6110,0.026%
Indah Kiat Pulp & Paper Tbk PT,INKP,0.0259%
China Merchants Securities Co Ltd,600999,0.0259%
Biocon Ltd,BIOS,0.0259%
Samsung Securities Co Ltd,016360,0.0259%
Centrais Eletricas Brasileiras SA,ELET3,0.0258%
China Cinda Asset Management Co Ltd,1359,0.0258%
Genscript Biotech Corp,1548,0.0258%
Page Industries Ltd,PAG,0.0257%
Promotora y Operadora de Infraestructura SAB de CV,PINFRA*,0.0256%
Piramal Enterprises Ltd,PIEL,0.0255%
Haitian International Holdings Ltd,1882,0.0254%
Gazprom PAO,OGZD,0.0254%
Guotai Junan Securities Co Ltd,601211,0.0254%
CRRC Corp Ltd,1766,0.0253%
Komercni Banka as,KOMB,0.0252%
Posco Chemical Co Ltd,003670,0.0251%
Infraestructura Energetica Nova SAB de CV,IENOVA*,0.0251%
Kingboard Laminates Holdings Ltd,1888,0.025%
Guangzhou R&F Properties Co Ltd,2777,0.025%
Indofood CBP Sukses Makmur Tbk PT,ICBP,0.0249%
BOE Technology Group Co Ltd,000725,0.0249%
China Medical System Holdings Ltd,867,0.0248%
Fila Holdings Corp,081660,0.0247%
Huaneng Power International Inc,902,0.0246%
InterGlobe Aviation Ltd,INDIGO,0.0246%
Hanmi Pharm Co Ltd,128940,0.0246%
Genting Malaysia Bhd,GENM,0.0245%
Hindustan Petroleum Corp Ltd,HPCL,0.0242%
Celltrion Pharm Inc,068760,0.0241%
Ooredoo QPSC,ORDS,0.024%
Jiangxi Copper Co Ltd,358,0.024%
Beijing Enterprises Holdings Ltd,392,0.024%
Shanghai Pharmaceuticals Holding Co Ltd,2607,0.024%
Sahara International Petrochemical Company SJSC,2310,0.0239%
QL Resources Bhd,QL,0.0239%
PhosAgro PAO,PHOR,0.0239%
Bancolombia SA,BCOLOMBIA,0.0238%
Shenwan Hongyuan Group Co Ltd,000166,0.0236%
Tongcheng-Elong Holdings Ltd,780,0.0236%
Gamuda Bhd,GAMUDA,0.0236%
China Merchants Port Holdings Co Ltd,144,0.0236%
HUYA Inc,HUYA,0.0235%
Zhangzhou Pientzehuang Pharmaceutical Ltd,600436,0.0234%
Centrais Eletricas Brasileiras SA,ELET6,0.0233%
Henan Shuanghui Investment & Development Co Ltd,000895,0.0233%
Dar Al Arkan Real Estate Development Company SJSC,4300,0.0232%
China Communications Services Corp Ltd,552,0.0232%
Korea Aerospace Industries Ltd,047810,0.0231%
Bangkok Bank PCL,BBL-F,0.0231%
Fuyao Glass Industry Group Co Ltd,3606,0.023%
Globe Telecom Inc,GLO,0.023%
Motherson Sumi Systems Ltd,MSS,0.0228%
BOC Aviation Ltd,2588,0.0227%
Baozun Inc,BZUN,0.0227%
3SBio Inc,1530,0.0227%
Central Retail Corporation PCL,CRC-R,0.0227%
Bank VTB PAO,VTBR,0.0226%
Samsung Engineering Co Ltd,028050,0.0226%
Winbond Electronics Corp,2344,0.0226%
Engie Brasil Energia SA,EGIE3,0.0224%
Grupo de Inversiones Suramericana SA,GRUPOSURA,0.0223%
Thai Union Group PCL,TU-R,0.0222%
Kasikornbank PCL,KBANK-R,0.0222%
Phison Electronics Corp,8299,0.0221%
CRRC Corp Ltd,601766,0.022%
CJ Logistics Corp,000120,0.0219%
Rand Merchant Investment Holdings Ltd,RMI,0.0219%
Goertek Inc,002241,0.0219%
Huatai Securities Co Ltd,601688,0.0218%
PGE Polska Grupa Energetyczna SA,PGE,0.0217%
Atacadao SA,CRFB3,0.0217%
Gree Electric Appliances Inc of Zhuhai,000651,0.0216%
Jollibee Foods Corp,JFC,0.0215%
GS Holdings Corp,078930,0.0215%
Zhaojin Mining Industry Co Ltd,1818,0.0215%
Shinsegae Inc,004170,0.0214%
China United Network Communications Ltd,600050,0.0214%
CJ ENM Co Ltd,035760,0.0214%
Life Healthcare Group Holdings Ltd,LHC,0.0213%
Changchun High & New Technology Industries Group Inc,000661,0.0213%
Berli Jucker PCL,BJC-R,0.0213%
China State Construction International Holdings Ltd,3311,0.0212%
S1 Corp,012750,0.0212%
Highwealth Construction Corp,2542,0.0211%
China Everbright Ltd,165,0.0211%
Colbun SA,COLBUN,0.021%
Bharat Forge Ltd,BHFC,0.021%
Yanzhou Coal Mining Co Ltd,1171,0.021%
Global Power Synergy PCL,GPSC-R,0.0209%
Jiangsu Expressway Co Ltd,177,0.0209%
China Everbright Bank Co Ltd,601818,0.0209%
Yunnan Baiyao Group Co Ltd,000538,0.0209%
Koc Holding AS,KCHOL,0.0208%
Dali Foods Group Co Ltd,3799,0.0207%
LG Household & Healthcare Ltd,051905,0.0207%
Kaisa Group Holdings Ltd,1638,0.0207%
Cheil Worldwide Inc,030000,0.0206%
Company for Cooperative Insurance SJSC,8010,0.0205%
Gudang Garam Tbk PT,GGRM,0.0205%
Santander Bank Polska SA,SPL,0.0204%
Turkiye Petrol Rafinerileri AS,TUPRS,0.0204%
China Railway Construction Corp Ltd,1186,0.0204%
Petronas Dagangan Bhd,PETDAG,0.0204%
Haier Smart Home Co Ltd,600690,0.0203%
Bumrungrad Hospital PCL,BH-R,0.0203%
Yuexiu Property Co Ltd,123,0.0203%
Saudi Industrial Investment Group SJSC,2250,0.0203%
HDFC Asset Management Company Ltd,HDFCAMC,0.0202%
Bosch Ltd,BOS,0.0201%
SAIC Motor Corp Ltd,600104,0.0201%
GOME Retail Holdings Ltd,493,0.02%
Korean Air Lines Co Ltd,003490,0.02%
Mango Excellent Media Co Ltd,300413,0.02%
China Securities Co Ltd,601066,0.02%
Zoomlion Heavy Industry Science and Technology Co Ltd,1157,0.02%
Manila Electric Co,MER,0.0198%
AMMB Holdings Bhd,AMBANK,0.0198%
Evergreen Marine Corp Taiwan Ltd,2603,0.0197%
Uni-President China Holdings Ltd,220,0.0197%
Energisa SA,ENGI11,0.0197%
Barito Pacific Tbk PT,BRPT,0.0197%
Shenzhen Inovance Technology Co Ltd,300124,0.0196%
Cansino Biologics Inc,6185,0.0196%
Shenzhen Kangtai Biological Products Co Ltd,300601,0.0196%
China Aoyuan Group Ltd,3883,0.0196%
Zijin Mining Group Co Ltd,601899,0.0196%
Malaysia Airports Holdings Bhd,AIRPORT,0.0196%
DLF Ltd,DLFU,0.0196%
GS Engineering & Construction Corp,006360,0.0195%
Ratch Group PCL,RATCH-R,0.0195%
Amorepacific Group,002790,0.0195%
Yonyou Network Technology Co Ltd,600588,0.0194%
Abdullah Al Othaim Markets CompanySJSC,4001,0.0194%
Colgate-Palmolive (India) Ltd,CLGT,0.0193%
Shanghai Fosun Pharmaceutical Group Co Ltd,600196,0.0193%
BNK Financial Group Inc,138930,0.0192%
China Life Insurance Co Ltd,601628,0.0192%
Thai Oil PCL,TOP-R,0.0191%
Air China Ltd,753,0.0191%
Hyundai Marine & Fire Insurance Co Ltd,001450,0.019%
Bank of the Philippine Islands,BPI,0.0189%
National Industrialization Company JSC,2060,0.0188%
China Education Group Holdings Ltd,839,0.0188%
Orange Polska SA,OPL,0.0187%
Ruentex Development Co Ltd,9945,0.0187%
Zhejiang Expressway Co Ltd,576,0.0185%
Adaro Energy Tbk PT,ADRO,0.0185%
Siemens Ltd,SIEM,0.0185%
Qatar International Islamic Bank QPSC,QIIK,0.0185%
Doosan Bobcat Inc,241560,0.0185%
Fuyao Glass Industry Group Co Ltd,600660,0.0184%
China Molybdenum Co Ltd,3993,0.0184%
Jiangsu Hengli Hydraulic Co Ltd,601100,0.0183%
Muangthai Capital PCL,MTC-R,0.0183%
Vinda International Holdings Ltd,3331,0.0182%
Indorama Ventures PCL,IVL-R,0.0182%
China Hongqiao Group Ltd,1378,0.0181%
Wens Foodstuff Group Co Ltd,300498,0.018%
Focus Media Information Technology Co Ltd,002027,0.018%
Telekom Malaysia Bhd,TM,0.018%
Haitong Securities Co Ltd,600837,0.0179%
True Corporation PCL,TRUE-R,0.0179%
Moneta Money Bank as,MONET,0.0179%
Fraser & Neave Holdings Bhd,F&N,0.0178%
Srisawad Corporation PCL,SAWAD-R,0.0178%
New Hope Liuhe Co Ltd,000876,0.0178%
Bank of Shanghai Co Ltd,601229,0.0178%
Asmedia Technology Inc,5269,0.0177%
Rongsheng Petrochemical Co Ltd,002493,0.0177%
Bangkok Commercial Asset Management PCL,BAM-R,0.0177%
Guangdong Haid Group Co Ltd,002311,0.0177%
ZTE Corp,000063,0.0177%
Hualan Biological Engineering Inc,002007,0.0177%
China Railway Group Ltd,601390,0.0176%
China East Education Holdings Ltd,667,0.0176%
Indocement Tunggal Prakarsa Tbk PT,INTP,0.0176%
Hundsun Technologies Inc,600570,0.0176%
Container Corporation of India Ltd,CONCOR,0.0176%
Bank of China Ltd,601988,0.0175%
CPFL Energia SA,CPFE3,0.0175%
LIC Housing Finance Ltd,LICHF,0.0175%
Magnitogorskiy Metallurgicheskiy Kombinat PAO,MAGN,0.0175%
COSCO SHIPPING Holdings Co Ltd,1919,0.0174%
PearlAbyss Corp,263750,0.0174%
Beijing Capital International Airport Co Ltd,694,0.0172%
Saudi Cement Company SJSC,3030,0.0171%
Hengli Petrochemical Co Ltd,600346,0.0171%
Indraprastha Gas Ltd,IGL,0.0171%
China Traditional Chinese Medicine Holdings Co Ltd,570,0.017%
IRB Brasil Resseguros SA,IRBR3,0.0169%
COSCO SHIPPING Ports Ltd,1199,0.0169%
Bank of Hangzhou Co Ltd,600926,0.0169%
Hap Seng Consolidated Bhd,HAPSENG,0.0169%
Lee & Man Paper Manufacturing Ltd,2314,0.0167%
Metro Pacific Investments Corp,MPI,0.0166%
BGrimm Power PCL,BGRIM-R,0.0165%
Koolearn Technology Holding Ltd,1797,0.0164%
Tongwei Co Ltd,600438,0.0163%
CJ Corp,001040,0.0163%
China Overseas Property Holdings Ltd,2669,0.0163%
Beijing Oriental Yuhong Waterproof Technology Co Ltd,002271,0.0163%
China Huarong Asset Management Co Ltd,2799,0.0163%
Bank of Beijing Co Ltd,601169,0.0161%
Emaar Malls PJSC,EMAARMALLS,0.0161%
Bosideng International Holdings Ltd,3998,0.0161%
Shanghai Lujiazui Finance & Trade Zone Development Co Ltd,900932,0.0159%
Turkiye Is Bankasi AS,ISCTR,0.0158%
Sanan Optoelectronics Co Ltd,600703,0.0157%
Emaar The Economic City SJSC,4220,0.0156%
GF Securities Co Ltd,000776,0.0156%
China Merchants Shekou Industrial Zone Holdings Co Ltd,001979,0.0156%
Grupo Carso SAB de CV,GCARSOA1,0.0156%
Wingtech Technology Co Ltd,600745,0.0155%
Anhui Gujing Distillery Co Ltd,000596,0.0155%
Zhejiang Nhu Co Ltd,002001,0.0155%
Multiplan Empreendimentos Imobiliarios SA,MULT3,0.0155%
China Railway Construction Corp Ltd,601186,0.0155%
Compania Cervecerias Unidas SA,CCU,0.0155%
AK Medical Holdings Ltd,1789,0.0155%
China Yuhua Education Corp Ltd,6169,0.0155%
Luye Pharma Group Ltd,2186,0.0155%
Shanghai Electric Group Co Ltd,2727,0.0154%
Eastern Company SAE,EAST,0.0154%
Haci Omer Sabanci Holding AS,SAHOL,0.0154%
Standard Foods Corp,1227,0.0154%
China Everbright Bank Co Ltd,6818,0.0153%
NH Investment & Securities Co Ltd,005940,0.0153%
Zhejiang Chint Electrics Co Ltd,601877,0.0152%
China Industrial Securities Co Ltd,601377,0.0152%
EVE Energy Co Ltd,300014,0.0152%
Lens Technology Co Ltd,300433,0.0151%
Will Semiconductor Co Ltd Shanghai,603501,0.0151%
Anhui Gujing Distillery Co Ltd,200596,0.015%
China Petroleum & Chemical Corp,600028,0.0149%
Chongqing Rural Commercial Bank Co Ltd,3618,0.0149%
Everbright Securities Co Ltd,601788,0.0148%
Zhejiang Sanhua Intelligent Controls Co Ltd,002050,0.0148%
Empresa Nacional de Telecomunicaciones SA,ENTEL,0.0148%
Top Choice Medical Investment Co Inc,600763,0.0148%
Hua Xia Bank Co Ltd,600015,0.0148%
China Citic Bank Corp Ltd,601998,0.0147%
REC Ltd,RECLTD,0.0147%
Shandong Gold Mining Co Ltd,600547,0.0147%
Krung Thai Bank PCL,KTB-R,0.0147%
Shenzhen Investment Ltd,604,0.0147%
China Shipbuilding Industry Co Ltd,601989,0.0146%
AECC Aviation Power Co Ltd,600893,0.0146%
Gemdale Corp,600383,0.0145%
Westports Holdings Bhd,WPRTS,0.0145%
Hithink RoyalFlush Information Network Co Ltd,300033,0.0145%
SSY Group Ltd,2005,0.0144%
Companhia Paranaense de Energia,CPLE6,0.0144%
Rabigh Refining and Petrochemical Company SJSC,2380,0.0144%
Aluminum Corp of China Ltd,2600,0.0144%
Formosa Taffeta Co Ltd,1434,0.0143%
Guosen Securities Co Ltd,002736,0.0142%
China Southern Airlines Co Ltd,1055,0.0141%
Noah Holdings Ltd,NOAH,0.0141%
Glodon Co Ltd,002410,0.0141%
Suning.Com Co Ltd,002024,0.0141%
Changjiang Securities Co Ltd,000783,0.0141%
Megacable Holdings SAB de CV,MEGACPO,0.0139%
Weichai Power Co Ltd,000338,0.0139%
Daqin Railway Co Ltd,601006,0.0139%
Hanjaya Mandala Sampoerna Tbk PT,HMSP,0.0138%
China Eastern Airlines Corp Ltd,600115,0.0138%
Zhejiang Dahua Technology Co Ltd,002236,0.0137%
Eva Airways Corp,2618,0.0137%
Asymchem Laboratories Tian Jin Co Ltd,002821,0.0137%
BGF Retail Co Ltd,282330,0.0137%
Grupa Lotos SA,LTS,0.0136%
AVIC Aircraft Co Ltd,000768,0.0136%
Baoshan Iron & Steel Co Ltd,600019,0.0136%
Momentum Metropolitan Holdings Ltd,MTM,0.0136%
Wuhu Sanqi Interactive Entertainment Network Technology Group Co Ltd,002555,0.0135%
Founder Securities Co Ltd,601901,0.0135%
NARI Technology Co Ltd,600406,0.0135%
Cielo SA,CIEL3,0.0135%
Poly Property Services Co Ltd,6049,0.0135%
Spring Airlines Co Ltd,601021,0.0134%
AVIC Jonhon Optronic Technology Co Ltd,002179,0.0133%
Hong Leong Financial Group Bhd,HLFG,0.0133%
Zhenro Properties Group Ltd,6158,0.0133%
Shenzhen Overseas Chinese Town Co Ltd,000069,0.0132%
Porto Seguro SA,PSSA3,0.0131%
China Resources Pharmaceutical Group Ltd,3320,0.0131%
Hanwha Corp,000880,0.013%
Bharti Infratel Ltd,BHIN,0.013%
Pan Ocean Co Ltd,028670,0.0129%
Becle SAB de CV,CUERVO*,0.0129%
AVIC Capital Co Ltd,600705,0.0129%
Inner Mongolia Yitai Coal Co Ltd,900948,0.0128%
Metallurgical Corporation of China Ltd,601618,0.0128%
Walvax Biotechnology Co Ltd,300142,0.0128%
Tsingtao Brewery Co Ltd,600600,0.0128%
Shanghai M&G Stationery Inc,603899,0.0127%
GigaDevice Semiconductor Beijing Inc,603986,0.0127%
Osotspa PCL,OSP-R,0.0126%
Bank of Jiangsu Co Ltd,600919,0.0126%
Shanghai Industrial Holdings Ltd,363,0.0126%
Hangzhou Tigermed Consulting Co Ltd,300347,0.0125%
Motor Oil Hellas Corinth Refineries SA,MOH,0.0125%
GT Capital Holdings Inc,GTCAP,0.0125%
Aguas Andinas SA,AGUAS-A,0.0124%
Ford Otomotiv Sanayi AS,FROTO,0.0124%
GS Retail Co Ltd,007070,0.0123%
Guotai Junan Securities Co Ltd,2611,0.0123%
Shriram Transport Finance Company Ltd,SHTF,0.0123%
Aboitiz Power Corp,AP,0.0123%
Unigroup Guoxin Microelectronics Co Ltd,002049,0.0122%
Beijing New Building Materials Public Ltd Co,000786,0.0122%
Daewoo Shipbuilding & Marine Engineering Co Ltd,042660,0.0122%
Caitong Securities Co Ltd,601108,0.0121%
China National Nuclear Power Co Ltd,601985,0.0121%
XCMG Construction Machinery Co Ltd,000425,0.0121%
Gd Power Development Co Ltd,600795,0.0121%
China Molybdenum Co Ltd,603993,0.0121%
Sichuan Chuantou Energy Co Ltd,600674,0.0121%
NAURA Technology Group Co Ltd,002371,0.0121%
Carlsberg Brewery Malaysia Bhd,CARLSBG,0.012%
China Jushi Co Ltd,600176,0.012%
Iflytek Co Ltd,002230,0.012%
Meritz Securities Co Ltd,008560,0.0119%
Lotte Shopping Co Ltd,023530,0.0119%
Shanghai Construction Group Co Ltd,600170,0.0119%
Zhejiang Supor Co Ltd,002032,0.0119%
Seazen Holdings Co Ltd,601155,0.0119%
Shaanxi Coal Industry Co Ltd,601225,0.0119%
Puregold Price Club Inc,PGOLD,0.0119%
Yifeng Pharmacy Chain Co Ltd,603939,0.0119%
Krungthai Card PCL,KTC-R,0.0118%
COSCO SHIPPING Holdings Co Ltd,601919,0.0118%
Yuzhou Group Holdings Co Ltd,1628,0.0118%
Total Access Communication PCL,DTAC-R,0.0118%
Jiangsu King's Luck Brewery Joint-Stock Co Ltd,603369,0.0117%
Shanghai Baosight Software Co Ltd,600845,0.0117%
Genting Plantations Bhd,GENP,0.0117%
Asset World Corp PCL,AWC-R,0.0117%
Embotelladora Andina SA,ANDINA-B,0.0117%
Bank of Nanjing Co Ltd,601009,0.0117%
HUAYU Automotive Systems Co Ltd,600741,0.0116%
Yonghui Superstores Co Ltd,601933,0.0116%
Jonjee Hi-tech Industrial and Commercial Holding Co Ltd,600872,0.0115%
Samsung Card Co Ltd,029780,0.0115%
Songcheng Performance Development Co Ltd,300144,0.0115%
Sangfor Technologies Inc,300454,0.0115%
IRPC PCL,IRPC-R,0.0114%
China Shenhua Energy Co Ltd,601088,0.0114%
China National Chemical Engineering Co Ltd,601117,0.0114%
Saudi Airlines Catering Company SJSC,6004,0.0114%
Jafron Biomedical Co Ltd,300529,0.0113%
Orient Securities Co Ltd,600958,0.0112%
Perfect World Co Ltd,002624,0.0112%
Megaworld Corp,MEG,0.0112%
Sinopec Shanghai Petrochemical Co Ltd,338,0.0112%
Turk Hava Yollari AO,THYAO,0.0112%
Maanshan Iron & Steel Co Ltd,600808,0.0112%
Jinke Property Group Co Ltd,000656,0.0111%
BAIC Motor Corp Ltd,1958,0.0111%
Juewei Food Co Ltd,603517,0.011%
Inner Mongolia BaoTou Steel Union Co Ltd,600010,0.011%
Perusahaan Gas Negara Tbk PT,PGAS,0.011%
Surgutneftegaz PAO,SGGD,0.0109%
Braskem SA,BRKM5,0.0108%
COSCO Shipping Energy Transportation Co Ltd,1138,0.0108%
Ottogi Corp,007310,0.0108%
Yapi ve Kredi Bankasi AS,YKBNK,0.0108%
Tianjin Zhonghuan Semiconductor Co Ltd,002129,0.0107%
SDIC Capital Co Ltd,600061,0.0106%
Beijing Enlight Media Co Ltd,300251,0.0106%
Xinjiang Goldwind Science & Technology Co Ltd,002202,0.0105%
Lotte Corp,004990,0.0104%
Shanghai International Airport Co Ltd,600009,0.0104%
Lepu Medical Technology Beijing Co Ltd,300003,0.0104%
SDIC Power Holdings Co Ltd,600886,0.0104%
Bank of Chengdu Co Ltd,601838,0.0103%
Beijing Tongrentang Co Ltd,600085,0.0103%
Sino-Ocean Group Holding Ltd,3377,0.0103%
mBank SA,MBK,0.0102%
Aisino Corp,600271,0.0102%
Chongqing Changan Automobile Co Ltd,000625,0.0102%
Risesun Real Estate Development Co Ltd,002146,0.0102%
YPF SA,YPF,0.0101%
Guangzhou Kingmed Diagnostics Group Co Ltd,603882,0.0101%
Lingyi iTech Guangdong Co,002600,0.0101%
Unisplendour Corp Ltd,000938,0.0101%
Zhengzhou Yutong Bus Co Ltd,600066,0.01%
Shenzhen Sunway Communication Co Ltd,300136,0.01%
Robinsons Land Corp,RLC,0.01%
BGI Genomics Co Ltd,300676,0.0099%
Legend Holdings Corp,3396,0.0099%
TMB Bank PCL,TMB-R,0.0098%
Autobio Diagnostics Co Ltd,603658,0.0098%
Ganfeng Lithium Co Ltd,002460,0.0098%
Ovctek China Inc,300595,0.0097%
Power Construction Corporation of China Ltd,601669,0.0097%
China Fortune Land Development Co Ltd,600340,0.0096%
Greenland Holdings Corp Ltd,600606,0.0096%
China Construction Bank Corp,601939,0.0096%
Hengyi Petrochemical Co Ltd,000703,0.0096%
First Capital Securities Co Ltd,002797,0.0096%
Meinian Onehealth Healthcare Holdings Co Ltd,002044,0.0095%
Beijing Tiantan Biological Products Corp Ltd,600161,0.0095%
BEST Inc,BEST,0.0094%
Shennan Circuits Co Ltd,002916,0.0094%
"Shenzhen Goodix Technology Co., Ltd.",603160,0.0094%
Cencosud Shopping SA,CENCOSHOPP,0.0093%
China Northern Rare Earth Group High-Tech Co Ltd,600111,0.0093%
Yunnan Energy New Material Co Ltd,002812,0.0093%
Anadolu Efes Biracilik ve Malt Sanayii AS,AEFES,0.0093%
Guangzhou Baiyunshan Pharmaceutical Holdings Co Ltd,600332,0.0092%
Soho China Ltd,410,0.0092%
Beijing Shunxin Agriculture Co Ltd,000860,0.0091%
Dawning Information Industry Co Ltd,603019,0.0091%
Avicopter PLC,600038,0.0091%
Korea Gas Corp,036460,0.0091%
Huadong Medicine Co Ltd,000963,0.0091%
Telecom Argentina SA,TEO,0.009%
Shanghai International Port Group Co Ltd,600018,0.009%
Posco International Corp,047050,0.0089%
Guangzhou Shiyuan Electronic Technology Co Ltd,002841,0.0089%
Sinopec Engineering Group Co Ltd,2386,0.0089%
China Railway Signal & Communication Corp Ltd,3969,0.0088%
Foxconn Industrial Internet Co Ltd,601138,0.0088%
Hangzhou Robam Appliances Co Ltd,002508,0.0087%
Wuhan Guide Infrared Co Ltd,002414,0.0087%
Shengyi Technology Co Ltd,600183,0.0087%
Yealink Network Technology Co Ltd,300628,0.0086%
Wuxi Lead Intelligent Equipment Co Ltd,300450,0.0084%
Zoomlion Heavy Industry Science and Technology Co Ltd,000157,0.0084%
Avic Shenyang Aircraft Co Ltd,600760,0.0084%
China Greatwall Technology Group Co Ltd,000066,0.0084%
China Southern Airlines Co Ltd,600029,0.0083%
Centre Testing International Group Co Ltd,300012,0.0082%
Betta Pharmaceuticals Co Ltd,300558,0.0082%
Winning Health Technology Group Co Ltd,300253,0.0081%
YTL Corporation Bhd,YTL,0.008%
Habib Bank Ltd,HBL,0.008%
China Reinsurance Group Corp,1508,0.008%
Beijing Sinnet Technology Co Ltd,300383,0.0078%
China TransInfo Technology Co Ltd,002373,0.0078%
Jiangsu Zhongnan Construction Group Co Ltd,000961,0.0078%
