VUG: Vanguard Growth ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	60166261
Shares Outstanding: 266058000
Expense Ratio: 0.04%
Tracks This Index: MSCI US Prime Market Growth Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VUG


Holding,Symbol,Weighting
Sherwin-Williams Co,SHW,0.3495%
Automatic Data Processing Inc,ADP,0.3455%
Micron Technology Inc,MU,0.3453%
Regeneron Pharmaceuticals Inc,REGN,0.345%
Applied Materials Inc,AMAT,0.3345%
Boston Scientific Corp,BSX,0.3313%
Intercontinental Exchange Inc,ICE,0.3298%
Global Payments Inc,GPN,0.3265%
Dollar General Corp,DG,0.3189%
Autodesk Inc,ADSK,0.3131%
Ecolab Inc,ECL,0.3108%
Lam Research Corp,LRCX,0.2987%
Edwards Lifesciences Corp,EW,0.2978%
Aon PLC,AON,0.2902%
Moody's Corp,MCO,0.278%
Illumina Inc,ILMN,0.2756%
Estee Lauder Companies Inc,EL,0.2659%
Analog Devices Inc,ADI,0.2641%
Roper Technologies Inc,ROP,0.2556%
Uber Technologies Inc,UBER,0.2475%
Digital Realty Trust Inc,DLR,0.2427%
DexCom Inc,DXCM,0.2348%
Lululemon Athletica Inc,LULU,0.2347%
Workday Inc,WDAY,0.2343%
Veeva Systems Inc,VEEV,0.2336%
L3harris Technologies Inc,LHX,0.2332%
Electronic Arts Inc,EA,0.23%
DocuSign Inc,DOCU,0.2297%
Prologis Inc,PLD,0.2255%
Chipotle Mexican Grill Inc,CMG,0.2232%
SBA Communications Corp,SBAC,0.2165%
CoStar Group Inc,CSGP,0.2122%
Twilio Inc,TWLO,0.2112%
O'Reilly Automotive Inc,ORLY,0.2085%
Twitter Inc,TWTR,0.2058%
Public Storage,PSA,0.1993%
Synopsys Inc,SNPS,0.199%
Centene Corp,CNC,0.1986%
Ross Stores Inc,ROST,0.198%
Amphenol Corp,APH,0.1979%
IDEXX Laboratories Inc,IDXX,0.1975%
T-Mobile US Inc,TMUS,0.1948%
Agilent Technologies Inc,A,0.1897%
KLA Corp,KLAC,0.1847%
Verisk Analytics Inc,VRSK,0.1826%
Splunk Inc,SPLK,0.1821%
Cadence Design Systems Inc,CDNS,0.1815%
Monster Beverage Corp,MNST,0.1807%
IQVIA Holdings Inc,IQV,0.1807%
Marsh & McLennan Companies Inc,MMC,0.1775%
MSCI Inc,MSCI,0.1763%
Cintas Corp,CTAS,0.1753%
IHS Markit Ltd,INFO,0.1698%
ANSYS Inc,ANSS,0.1695%
Waste Connections Inc,WCN,0.1678%
Yum! Brands Inc,YUM,0.1669%
Match Group Inc,MTCH,0.166%
Snap Inc,SNAP,0.1641%
Autozone Inc,AZO,0.1634%
Marvell Technology Group Ltd,MRVL,0.161%
Microchip Technology Inc,MCHP,0.1599%
Fastenal Co,FAST,0.1596%
Paychex Inc,PAYX,0.1568%
Rockwell Automation Inc,ROK,0.1565%
Xilinx Inc,XLNX,0.1558%
Resmed Inc,RMD,0.1527%
Okta Inc,OKTA,0.1511%
Skyworks Solutions Inc,SWKS,0.1481%
Hilton Worldwide Holdings Inc,HLT,0.1471%
McCormick & Company Inc,MKC,0.1444%
Alexion Pharmaceuticals Inc,ALXN,0.1432%
Brown-Forman Corp,BF.B,0.1424%
Seattle Genetics Inc,SGEN,0.1419%
Align Technology Inc,ALGN,0.1416%
AMETEK Inc,AME,0.1413%
Church & Dwight Co Inc,CHD,0.1412%
Palo Alto Networks Inc,PANW,0.1395%
Mettler-Toledo International Inc,MTD,0.1371%
Copart Inc,CPRT,0.1365%
Moderna Inc,MRNA,0.136%
Cerner Corp,CERN,0.1335%
Realty Income Corp,O,0.1297%
RingCentral Inc,RNG,0.1293%
Hershey Co,HSY,0.1274%
West Pharmaceutical Services Inc,WST,0.1258%
Alexandria Real Estate Equities Inc,ARE,0.1245%
Fleetcor Technologies Inc,FLT,0.1235%
Trade Desk Inc,TTD,0.1234%
Verisign Inc,VRSN,0.1232%
Baxter International Inc,BAX,0.1231%
Roku Inc,ROKU,0.123%
Arthur J Gallagher & Co,AJG,0.1223%
Old Dominion Freight Line Inc,ODFL,0.1211%
Wayfair Inc,W,0.1199%
CrowdStrike Holdings Inc,CRWD,0.1182%
Equifax Inc,EFX,0.1173%
Take-Two Interactive Software Inc,TTWO,0.1163%
Pinterest Inc,PINS,0.1148%
Keysight Technologies Inc,KEYS,0.1145%
First Republic Bank,FRC,0.1124%
