SPY: SPDR S&P 500 ETF
Inception Date: 1993-01-22
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	290672951
Shares Outstanding: 874332000
Expense Ratio: 0.0945%
Tracks This Index: S&P 500 Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: State Street SPDR
Structure: UIT
ETF Home Page: https://etfdb.com/etf/SPY


Holding,Symbol,Weighting
W W Grainger Inc,GWW,0.0572%
International Paper Co,IP,0.0572%
Fortinet Inc,FTNT,0.0571%
Varian Medical Systems Inc,VAR,0.0569%
CBRE Group Inc,CBRE,0.0568%
Dover Corp,DOV,0.0567%
Teleflex Inc,TFX,0.0565%
FirstEnergy Corp,FE,0.0561%
Expeditors International of Washington Inc,EXPD,0.0557%
Quest Diagnostics Inc,DGX,0.0554%
Las Vegas Sands Corp,LVS,0.0554%
Carmax Inc,KMX,0.0549%
Broadridge Financial Solutions Inc,BR,0.0547%
Xylem Inc,XYL,0.0544%
Qorvo Inc,QRVO,0.0543%
Fifth Third Bancorp,FITB,0.054%
ETSY Inc,ETSY,0.0534%
Steris plc,STE,0.053%
Paycom Software Inc,PAYC,0.053%
Masco Corp,MAS,0.053%
Healthpeak Properties Inc,PEAK,0.0527%
Pioneer Natural Resources Co,PXD,0.0515%
Garmin Ltd,GRMN,0.0514%
Martin Marietta Materials Inc,MLM,0.0514%
Amerisourcebergen Corp,ABC,0.0509%
Catalent Inc,CTLT,0.0507%
CH Robinson Worldwide Inc,CHRW,0.0505%
Nasdaq Inc,NDAQ,0.0504%
Extra Space Storage Inc,EXR,0.0503%
Synchrony Financial,SYF,0.0501%
Tyler Technologies Inc,TYL,0.05%
Zebra Technologies Corp,ZBRA,0.0498%
Brown-Forman Corp,BF.B,0.0498%
PerkinElmer Inc,PKI,0.0497%
Genuine Parts Co,GPC,0.0496%
Duke Realty Corp,DRE,0.0496%
Cardinal Health Inc,CAH,0.0496%
FMC Corp,FMC,0.0494%
Hormel Foods Corp,HRL,0.0493%
IDEX Corp,IEX,0.0492%
Nucor Corp,NUE,0.049%
Ingersoll Rand Inc,IR,0.0481%
NVR Inc,NVR,0.0481%
Teradyne Inc,TER,0.048%
Mid-America Apartment Communities Inc,MAA,0.0479%
Darden Restaurants Inc,DRI,0.0473%
Hartford Financial Services Group Inc,HIG,0.0472%
J M Smucker Co,SJM,0.0469%
International Flavors & Fragrances Inc,IFF,0.0468%
Essex Property Trust Inc,ESS,0.0468%
Alliant Energy Corp,LNT,0.0461%
Celanese Corp,CE,0.0457%
Ulta Beauty Inc,ULTA,0.0456%
Tiffany & Co,TIF,0.0455%
Expedia Group Inc,EXPE,0.0453%
United Rentals Inc,URI,0.0451%
Jack Henry & Associates Inc,JKHY,0.0449%
NortonLifeLock Inc,NLOK,0.0445%
ABIOMED Inc,ABMD,0.0443%
SVB Financial Group,SIVB,0.0442%
Pultegroup Inc,PHM,0.0438%
Hewlett Packard Enterprise Co,HPE,0.0436%
Jacobs Engineering Group Inc,J,0.0436%
Leidos Holdings Inc,LDOS,0.0436%
AES Corp,AES,0.0433%
Western Digital Corp,WDC,0.0431%
Waters Corp,WAT,0.043%
ONEOK Inc,OKE,0.0428%
Fortune Brands Home & Security Inc,FBHS,0.0426%
Atmos Energy Corp,ATO,0.0423%
Cincinnati Financial Corp,CINF,0.0422%
M&T Bank Corp,MTB,0.0422%
KeyCorp,KEY,0.0418%
Arista Networks Inc,ANET,0.0418%
Royal Caribbean Cruises Ltd,RCL,0.0415%
Teledyne Technologies Inc,TDY,0.0413%
Boston Properties Inc,BXP,0.0411%
Evergy Inc,EVRG,0.041%
Gartner Inc,IT,0.0407%
Westinghouse Air Brake Technologies Corp,WAB,0.0406%
Seagate Technology PLC,STX,0.0404%
