VYM: Vanguard High Dividend Yield ETF
Inception Date: 2006-11-16
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	26210954
Shares Outstanding: 326413000
Expense Ratio: 0.06%
Tracks This Index: FTSE High Dividend Yield Index
ETFdb.com Category: Large Cap Blend Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VYM


Holding,Symbol,Weighting
Westrock Co,WRK,0.0904%
Baker Hughes Co,BKR,0.0883%
NiSource Inc,NI,0.0864%
Fidelity National Financial Inc,FNF,0.0864%
Campbell Soup Co,CPB,0.0861%
Occidental Petroleum Corp,OXY,0.0856%
Pinnacle West Capital Corp,PNW,0.0842%
Coca-Cola European Partners PLC,CK0,0.0812%
Watsco Inc,WSO,0.081%
Snap-On Inc,SNA,0.0797%
Everest Re Group Ltd,RE,0.0796%
Equitable Holdings Inc,EQH,0.0758%
Hubbell Inc,HUBB,0.075%
NRG Energy Inc,NRG,0.074%
Juniper Networks Inc,JNPR,0.073%
Williams-Sonoma Inc,WSM,0.0711%
UGI Corp,UGI,0.0696%
Newell Brands Inc,NWL,0.0674%
Reinsurance Group of America Inc,RGA,0.0664%
Interpublic Group of Companies Inc,IPG,0.0662%
Reliance Steel & Aluminum Co,RS,0.0661%
CF Industries Holdings Inc,CF,0.0654%
Bunge Ltd,BG,0.063%
Lincoln National Corp,LNC,0.0616%
Scotts Miracle-Gro Co,SMG,0.0607%
OGE Energy Corp,OGE,0.0606%
Steel Dynamics Inc,STLD,0.0585%
Franklin Resources Inc,BEN,0.0559%
First American Financial Corp,FAF,0.0556%
Leggett & Platt Inc,LEG,0.0548%
Polaris Inc,PII,0.0546%
HanesBrands Inc,HBI,0.0546%
Comerica Inc,CMA,0.0545%
Sonoco Products Co,SON,0.0528%
Ingredion Inc,INGR,0.0523%
First Horizon National Corp,FHN,0.0514%
Nielsen Holdings PLC,NLSN,0.0509%
Diamondback Energy Inc,FANG,0.0497%
American Financial Group Inc,AFG,0.0494%
Flowers Foods Inc,FLO,0.048%
Zions Bancorporation NA,ZION,0.0476%
East West Bancorp Inc,EWBC,0.0469%
National Instruments Corp,NATI,0.0461%
Prosperity Bancshares Inc,PB,0.046%
MDU Resources Group Inc,MDU,0.0454%
Huntsman Corp,HUN,0.0447%
People's United Financial Inc,PBCT,0.0441%
Invesco Ltd,IVZ,0.0438%
Eaton Vance Corp,EV,0.0437%
ManpowerGroup Inc,MAN,0.0433%
Old Republic International Corp,ORI,0.0424%
Jefferies Financial Group Inc,JEF,0.041%
Ares Management Corp,ARES,0.0401%
Idacorp Inc,IDA,0.0399%
New York Community Bancorp Inc,NYCB,0.0383%
Southern Copper Corp,SCCO,0.0376%
ONE Gas Inc,OGS,0.0375%
AXIS Capital Holdings Ltd,AXS,0.0372%
Devon Energy Corp,DVN,0.0372%
National Fuel Gas Co,NFG,0.0369%
Equitrans Midstream Corp,ETRN,0.0366%
Apache Corp,APA,0.0366%
Flowserve Corp,FLS,0.0362%
Hawaiian Electric Industries Inc,HE,0.0362%
TCF Financial Corp,TCF,0.0359%
Timken Co,TKR,0.0353%
Unum Group,UNM,0.0349%
Cullen/Frost Bankers Inc,CFR,0.0347%
Black Hills Corp,BKH,0.0344%
Targa Resources Corp,TRGP,0.0342%
Southwest Gas Holdings Inc,SWX,0.034%
Lazard Ltd,LAZ,0.034%
Xerox Holdings Corp,XRX,0.034%
Rli Corp,RLI,0.0336%
Chemours Co,CC,0.0334%
South State Corp,SSB,0.0331%
PNM Resources Inc,PNM,0.0327%
H & R Block Inc,HRB,0.0323%
Glacier Bancorp Inc,GBCI,0.032%
Portland General Electric Co,POR,0.0316%
HollyFrontier Corp,HFC,0.0312%
Synovus Financial Corp,SNV,0.031%
Popular Inc,BPOP,0.0306%
Janus Henderson Group PLC,0RPW,0.0305%
MGIC Investment Corp,MTG,0.03%
Community Bank System Inc,CBU,0.0295%
Avangrid Inc,AGR,0.0294%
MSC Industrial Direct Co Inc,MSM,0.0282%
nVent Electric PLC,NVT,0.0282%
Cash Component,CASH,0.0282%
ALLETE Inc,ALE,0.0282%
Valley National Bancorp,VLY,0.0276%
Cogent Communications Holdings Inc,CCOI,0.0273%
NU Skin Enterprises Inc,NUS,0.0268%
Bank Ozk,OZK,0.0268%
Tegna Inc,TGNA,0.0264%
Spire Inc,SR,0.0264%
United Bankshares Inc,UBSI,0.0264%
Wyndham Destinations Inc,WYND,0.0261%
Sensient Technologies Corp,SXT,0.0261%
LCI Industries,LCII,0.026%
Avnet Inc,AVT,0.0258%
Cimarex Energy Co,XEC,0.0258%
ABM Industries Inc,ABM,0.0257%
Avient Corp,AVNT,0.0256%
Energizer Holdings Inc,ENR,0.0255%
Evercore Inc,EVR,0.0253%
Spectrum Brands Holdings Inc,SPB,0.0253%
New Jersey Resources Corp,NJR,0.0252%
Crane Co,CR,0.025%
Kennametal Inc,KMT,0.0246%
NorthWestern Corp,NWE,0.0241%
Commercial Metals Co,CMC,0.0239%
Umpqua Holdings Corp,UMPQ,0.0239%
Avista Corp,AVA,0.0235%
Home BancShares Inc,HOMB,0.0234%
MDC Holdings Inc,MDC,0.0231%
CNO Financial Group Inc,CNO,0.0231%
Webster Financial Corp,WBS,0.023%
Ryder System Inc,R,0.0225%
GATX Corp,GATX,0.0222%
F.N.B. Corp,FNB,0.0221%
Clearway Energy Inc,CWEN,0.0218%
Ovintiv Inc,OVV,0.0217%
Extended Stay America Inc,STAY,0.0216%
CVB Financial Corp,CVBF,0.0214%
